onset	duration	ACC	RT
231242	400	1	720
235747	400	1	1256
240251	400	1	789
244756	400	0	655
249260	400	0	668
253765	400	1	715
258269	400	1	386
262774	400	1	1180
267278	400	1	1109
271783	400	0	644
276287	400	1	1004
280791	400	0	1463
285296	400	1	856
289800	400	1	1327
294305	400	0	1271
298809	400	1	1202
303314	400	1	746
307818	400	1	571
312323	400	1	724
316827	400	1	609
321332	400	0	790
325836	400	1	636
330341	400	1	985
334845	400	1	980
339349	400	0	711
343854	400	0	655
348358	400	1	1412
352863	400	0	1119
357367	400	1	690
361872	400	1	763
366376	400	1	1062
370881	400	1	865
375385	400	1	725
379890	400	1	841
384394	400	0	386
388899	400	1	808
393403	400	1	760
397908	400	1	570
402412	400	1	1179
406917	400	1	879
411421	400	1	724
415926	400	1	1587
420430	400	1	819
424935	400	0	1540
429439	400	0	629
433943	400	1	523
438448	400	0	1179
442952	400	0	1126
447457	400	0	798
451961	400	1	794
456466	400	0	0
460970	400	0	0
465475	400	0	217
469979	400	1	611
474483	400	1	632
478988	400	1	974
483492	400	0	772
487997	400	0	518
492501	400	1	846
497006	400	1	988
546555	400	1	438
551059	400	1	855
555564	400	0	968
560068	400	1	652
564573	400	1	1080
569077	400	1	936
573582	400	1	903
578086	400	1	1020
582591	400	1	658
587095	400	0	341
591600	400	0	676
596104	400	1	1035
600609	400	0	909
605113	400	0	571
609618	400	1	729
614122	400	1	586
618626	400	0	611
623131	400	0	361
627635	400	0	749
632140	400	1	568
636644	400	1	453
641149	400	1	635
645653	400	1	722
650158	400	0	1177
654662	400	0	814
659167	400	1	487
663671	400	1	712
668176	400	1	730
672680	400	1	630
677185	400	0	891
681689	400	1	736
686193	400	0	991
690698	400	1	828
695202	400	1	1126
699707	400	1	610
704211	400	1	616
708716	400	1	443
713220	400	1	580
717725	400	1	458
722229	400	1	702
726734	400	1	533
731238	400	1	614
735743	400	1	697
740247	400	1	450
744752	400	1	367
749256	400	0	993
753761	400	1	795
758265	400	0	887
762769	400	1	855
767274	400	0	837
771778	400	0	440
776283	400	1	699
780787	400	1	536
785292	400	1	969
789796	400	1	928
794301	400	1	668
798805	400	0	568
803310	400	1	560
807814	400	1	919
812319	400	0	1090
865054	400	1	610
869559	400	1	448
874063	400	1	657
878568	400	1	771
883072	400	0	664
887577	400	0	866
892081	400	0	343
896586	400	1	471
901090	400	0	1212
905594	400	1	742
910099	400	1	454
914603	400	0	1180
919108	400	0	685
923612	400	0	559
928117	400	0	0
932621	400	1	542
937126	400	0	1285
941630	400	0	646
946135	400	0	1630
950639	400	0	722
955144	400	0	969
959648	400	0	931
964152	400	1	881
968657	400	0	905
973161	400	0	593
977666	400	1	1351
982170	400	1	661
986675	400	1	1111
991179	400	1	908
995684	400	1	742
1000188	400	1	810
1004693	400	1	421
1009197	400	1	936
1013702	400	0	1226
1018206	400	1	1090
1022710	400	1	902
1027215	400	1	762
1031719	400	0	659
1036224	400	1	459
1040728	400	1	1051
1045233	400	1	690
1049737	400	1	611
1054242	400	1	670
1058746	400	1	1028
1063251	400	0	1028
1067755	400	1	1058
1072260	400	1	803
1076764	400	1	687
1081269	400	1	478
1085773	400	0	904
1090277	400	1	433
1094782	400	0	1089
1099286	400	1	1100
1103791	400	1	509
1108295	400	0	1102
1112800	400	1	1251
1117304	400	1	881
1121809	400	0	914
1126313	400	1	1033
1130818	400	1	850
1173744	400	0	0
1178248	400	1	789
1182752	400	1	982
1187257	400	1	1288
1191761	400	1	692
1196266	400	1	647
1200770	400	1	608
1205275	400	0	978
1209779	400	0	1098
1214284	400	1	894
1218788	400	1	1520
1223293	400	1	594
1227797	400	1	883
1232302	400	1	1151
1236806	400	1	646
1241311	400	1	1368
1245815	400	1	794
1250319	400	1	836
1254824	400	1	441
1259328	400	1	697
1263833	400	0	811
1268337	400	0	1184
1272842	400	0	617
1277346	400	1	571
1281851	400	1	634
1286355	400	0	1199
1290860	400	1	803
1295364	400	1	852
1299869	400	1	519
1304373	400	1	694
1308878	400	1	730
1313382	400	1	1173
1317886	400	1	1087
1322391	400	1	1334
1326895	400	1	860
1331400	400	1	648
1335904	400	0	900
1340409	400	1	642
1344913	400	1	669
1349418	400	0	907
1353922	400	0	1472
1358427	400	1	803
1362931	400	1	580
1367436	400	1	891
1371940	400	1	890
1376444	400	1	1517
1380949	400	1	693
1385453	400	1	568
1389958	400	0	1631
1394462	400	1	1007
1398967	400	0	1330
1403471	400	0	780
1407976	400	1	1239
1412480	400	1	984
1416985	400	1	570
1421489	400	1	686
1425994	400	1	565
1430498	400	1	469
1435003	400	1	731
1439507	400	0	933
