onset	duration	ACC	RT
178292	400	1	655
182797	400	1	1185
187301	400	1	656
191806	400	1	745
196310	400	1	1298
200814	400	1	1005
205319	400	0	0
209823	400	1	574
214328	400	0	861
218832	400	1	674
223337	400	1	358
227841	400	1	1123
232346	400	0	990
236850	400	1	1419
241355	400	0	912
245859	400	1	966
250364	400	0	1486
254868	400	1	1288
259373	400	1	606
263877	400	1	856
268382	400	1	1583
272886	400	1	485
277390	400	1	717
281895	400	0	985
286399	400	1	578
290904	400	1	473
295408	400	0	1225
299913	400	1	530
304417	400	1	894
308922	400	1	537
313426	400	0	1281
317931	400	1	1114
322435	400	0	1001
326940	400	1	460
331444	400	1	840
335949	400	1	664
340453	400	1	1144
344958	400	1	505
349462	400	0	534
353967	400	1	468
358471	400	1	1069
362975	400	0	1437
367480	400	1	543
371984	400	1	382
376489	400	1	763
380993	400	1	552
385498	400	0	897
390002	400	1	563
394507	400	1	728
399011	400	1	420
403516	400	1	1147
408020	400	1	744
412525	400	1	603
417029	400	0	392
421533	400	1	1213
426038	400	1	1274
430542	400	1	533
435047	400	1	765
439551	400	1	548
444056	400	1	691
473001	400	0	929
477506	400	1	684
482010	400	1	384
486515	400	1	615
491019	400	0	0
495524	400	1	343
500028	400	1	817
504532	400	1	808
509037	400	1	1105
513542	400	1	542
518046	400	1	550
522551	400	1	388
527055	400	0	1121
531559	400	1	1291
536064	400	1	857
540568	400	1	780
545073	400	1	686
549577	400	1	709
554082	400	1	692
558586	400	0	1308
563091	400	1	683
567595	400	1	623
572100	400	1	516
576604	400	0	1144
581109	400	1	973
585613	400	1	580
590117	400	1	468
594622	400	0	1296
599126	400	1	822
603631	400	1	497
608135	400	1	539
612640	400	1	780
617144	400	0	1540
621649	400	0	847
626153	400	1	506
630658	400	0	485
635162	400	1	990
639667	400	1	431
644171	400	1	675
648676	400	1	752
653180	400	1	1100
657685	400	1	384
662189	400	1	1438
666693	400	1	726
671198	400	1	887
675702	400	1	530
680207	400	1	541
684711	400	1	349
689216	400	1	1374
693720	400	1	733
698225	400	1	910
702729	400	1	702
707234	400	1	674
711738	400	1	486
716243	400	1	757
720747	400	1	599
725252	400	1	641
729756	400	1	441
734260	400	1	723
738765	400	1	856
767443	400	1	1383
771948	400	1	916
776452	400	1	613
780957	400	1	628
785461	400	0	1192
789966	400	1	1384
794470	400	1	517
798975	400	1	516
803479	400	1	764
807984	400	1	802
812488	400	1	548
816992	400	1	629
821497	400	1	1017
826001	400	1	1406
830506	400	1	804
835010	400	1	815
839515	400	1	652
844019	400	1	511
848524	400	1	645
853028	400	1	890
857533	400	0	0
862037	400	1	708
866542	400	1	668
871046	400	1	835
875551	400	1	1319
880055	400	1	1103
884560	400	1	815
889064	400	1	1143
893569	400	1	559
898073	400	1	610
902578	400	1	803
907082	400	1	806
911586	400	1	883
916091	400	1	487
920595	400	1	462
925100	400	1	843
929604	400	1	622
934109	400	1	1236
938613	400	1	867
943118	400	1	600
947622	400	0	593
952127	400	0	1027
956631	400	1	989
961136	400	1	678
965640	400	0	1351
970144	400	1	859
974649	400	1	461
979153	400	1	966
983658	400	1	597
988162	400	1	960
992667	400	1	703
997171	400	1	779
1001676	400	1	994
1006180	400	1	815
1010685	400	1	724
1015189	400	1	636
1019694	400	0	0
1024198	400	1	817
1028703	400	1	576
1033207	400	1	840
1073597	400	1	815
1078102	400	1	840
1082606	400	1	497
1087110	400	1	583
1091615	400	0	0
1096119	400	1	341
1100624	400	1	908
1105128	400	1	495
1109633	400	1	793
1114137	400	0	1161
1118642	400	0	1166
1123146	400	1	864
1127651	400	1	660
1132155	400	1	407
1136660	400	1	544
1141164	400	1	322
1145669	400	1	555
1150173	400	1	453
1154678	400	1	589
1159182	400	0	1020
1163686	400	1	508
1168191	400	1	1121
1172695	400	1	663
1177200	400	1	475
1181704	400	1	703
1186209	400	0	1301
1190713	400	1	778
1195218	400	0	1351
1199722	400	1	1048
1204227	400	1	435
1208731	400	0	838
1213236	400	0	1595
1217740	400	1	518
1222245	400	1	890
1226749	400	1	1056
1231253	400	1	603
1235758	400	1	417
1240262	400	1	1327
1244767	400	1	670
1249271	400	1	693
1253776	400	1	884
1258280	400	1	1155
1262785	400	1	788
1267289	400	1	1201
1271794	400	1	659
1276298	400	1	595
1280803	400	1	1143
1285307	400	1	1437
1289812	400	0	1260
1294316	400	1	1008
1298820	400	1	461
1303325	400	1	725
1307829	400	1	875
1312334	400	0	1198
1316838	400	0	1218
1321343	400	1	840
1325847	400	1	1024
1330352	400	1	1285
1334856	400	1	465
1339361	400	1	938
