onset	duration	ACC	RT
160393	400	1	1275
164898	400	1	424
169402	400	1	675
173907	400	1	522
178411	400	1	559
182916	400	1	1060
187420	400	1	423
191925	400	1	602
196429	400	1	482
200934	400	1	516
205438	400	1	387
209942	400	1	529
214447	400	1	470
218951	400	1	741
223456	400	1	517
227960	400	0	1025
232465	400	1	454
236969	400	1	728
241474	400	1	616
245978	400	1	468
250483	400	1	454
254987	400	1	646
259492	400	1	720
263996	400	1	444
268501	400	1	429
273005	400	1	633
277510	400	1	847
282014	400	1	945
286518	400	1	713
291023	400	1	492
295527	400	1	544
300032	400	1	474
304536	400	1	770
309041	400	1	1105
313545	400	1	540
318050	400	1	555
322554	400	1	567
327059	400	1	688
331563	400	1	867
336068	400	1	435
340572	400	0	1035
345076	400	1	1201
349581	400	1	906
354085	400	1	1196
358590	400	1	733
363094	400	1	922
367599	400	1	653
372103	400	1	1148
376608	400	1	617
381112	400	1	1386
385617	400	1	1097
390121	400	1	603
394626	400	1	802
399130	400	1	439
403635	400	1	504
408139	400	1	512
412644	400	1	973
417148	400	1	442
421652	400	1	650
426157	400	1	664
477975	400	0	0
482479	400	1	631
486984	400	1	387
491488	400	1	534
495993	400	1	1321
500497	400	1	683
505002	400	1	1683
509506	400	1	919
514011	400	1	643
518515	400	1	503
523020	400	1	560
527524	400	1	1106
532028	400	1	776
536533	400	1	518
541037	400	1	502
545542	400	1	544
550046	400	1	1329
554551	400	1	602
559055	400	1	1246
563560	400	1	707
568064	400	1	468
572569	400	1	698
577073	400	1	433
581578	400	1	837
586082	400	1	938
590587	400	1	603
595091	400	1	582
599595	400	1	1414
604100	400	1	483
608604	400	1	534
613109	400	1	633
617613	400	1	654
622118	400	1	503
626622	400	1	559
631127	400	1	462
635631	400	1	557
640136	400	1	479
644640	400	1	655
649145	400	1	661
653649	400	1	444
658153	400	1	531
662658	400	1	591
667162	400	0	676
671667	400	1	586
676171	400	1	453
680676	400	1	912
685180	400	1	1417
689685	400	1	636
694189	400	0	1641
698694	400	1	733
703198	400	0	1102
707703	400	0	473
712207	400	0	246
716712	400	0	0
721216	400	1	806
725720	400	1	1312
730225	400	1	532
734729	400	1	978
739234	400	1	1097
743738	400	1	657
808903	400	1	483
813407	400	1	547
817912	400	1	1110
822416	400	1	1154
826921	400	1	507
831425	400	0	1192
835930	400	1	520
840434	400	1	634
844939	400	1	790
849443	400	1	595
853948	400	1	587
858452	400	1	1098
862956	400	1	616
867461	400	1	1062
871965	400	0	1605
876470	400	0	0
880974	400	1	913
885479	400	1	714
889983	400	1	531
894488	400	0	0
898992	400	1	605
903497	400	0	1138
908001	400	1	693
912506	400	1	476
917010	400	1	604
921514	400	1	755
926019	400	1	1258
930523	400	1	936
935028	400	1	695
939532	400	0	0
944037	400	1	475
948541	400	1	1152
953046	400	1	788
957550	400	1	683
962055	400	1	1119
966559	400	1	670
971064	400	1	568
975568	400	0	0
980072	400	1	802
984577	400	1	732
989081	400	1	472
993586	400	1	609
998090	400	1	488
1002595	400	1	638
1007099	400	1	800
1011604	400	1	1185
1016108	400	1	760
1020613	400	1	476
1025117	400	1	905
1029622	400	0	979
1034126	400	1	709
1038631	400	1	803
1043135	400	0	1034
1047639	400	1	534
1052144	400	1	568
1056648	400	0	1124
1061153	400	0	1023
1065657	400	0	1573
1070162	400	0	1382
1074666	400	1	1047
1155213	400	1	773
1159717	400	1	539
1164222	400	1	368
1168726	400	1	456
1173231	400	1	730
1177735	400	1	497
1182240	400	1	413
1186744	400	1	601
1191248	400	1	471
1195753	400	1	456
1200257	400	1	569
1204762	400	1	1352
1209266	400	1	730
1213771	400	1	544
1218275	400	1	531
1222780	400	1	1523
1227284	400	1	560
1231789	400	1	631
1236293	400	1	495
1240798	400	1	609
1245302	400	1	490
1249806	400	0	901
1254311	400	1	1568
1258815	400	1	463
1263320	400	1	1342
1267824	400	1	662
1272329	400	0	1032
1276833	400	0	1270
1281338	400	1	782
1285842	400	1	846
1290347	400	1	526
1294851	400	1	440
1299356	400	1	1151
1303860	400	1	517
1308365	400	1	528
1312869	400	1	667
1317373	400	1	606
1321878	400	1	1061
1326382	400	1	718
1330887	400	0	1561
1335391	400	1	404
1339896	400	1	1068
1344400	400	1	1627
1348905	400	1	1463
1353409	400	1	419
1357914	400	1	436
1362418	400	1	517
1366923	400	1	699
1371427	400	1	618
1375931	400	1	393
1380436	400	1	439
1384940	400	1	588
1389445	400	1	1228
1393949	400	1	662
1398454	400	1	685
1402958	400	1	483
1407463	400	1	779
1411967	400	1	428
1416472	400	1	802
1420976	400	1	827
