onset	duration	ACC	RT
263159	400	1	602
267663	400	1	448
272168	400	1	742
276672	400	1	1026
281177	400	1	1303
285681	400	1	694
290185	400	0	483
294690	400	1	691
299194	400	0	0
303699	400	0	640
308203	400	0	998
312708	400	0	1578
317212	400	1	1203
321717	400	0	448
326221	400	0	472
330726	400	1	668
335230	400	1	876
339735	400	1	523
344239	400	1	806
348744	400	1	944
353248	400	0	674
357752	400	0	479
362257	400	0	0
366761	400	0	202
371266	400	1	1460
375770	400	1	412
380275	400	0	874
384779	400	0	497
389284	400	1	1124
393788	400	0	579
398293	400	1	1638
402797	400	0	497
407302	400	1	624
411806	400	1	937
416310	400	0	1391
420815	400	1	1417
425319	400	1	763
429824	400	1	754
434328	400	0	410
438833	400	1	698
443337	400	0	988
447842	400	1	1387
452346	400	1	268
456851	400	1	826
461355	400	0	1241
465859	400	0	478
470364	400	1	930
474868	400	1	1195
479373	400	0	444
483877	400	0	787
488382	400	1	524
492886	400	0	806
497391	400	0	1258
501895	400	0	443
506400	400	0	645
510904	400	1	980
515409	400	0	439
519913	400	0	1282
524418	400	1	988
528922	400	1	270
599809	400	0	35
604313	400	1	234
608818	400	0	327
613322	400	0	393
617827	400	0	247
622331	400	1	539
626836	400	0	721
631340	400	0	793
635844	400	1	1121
640349	400	0	432
644853	400	0	0
649358	400	0	590
653862	400	1	654
658367	400	1	602
662871	400	1	650
667376	400	1	731
671880	400	0	941
676385	400	0	1284
680889	400	0	0
685393	400	1	519
689898	400	0	270
694402	400	1	242
698907	400	0	1015
703411	400	1	588
707916	400	1	439
712420	400	1	743
716925	400	0	0
721429	400	1	474
725934	400	1	467
730438	400	0	814
734943	400	1	625
739447	400	1	625
743951	400	0	601
748456	400	0	390
752960	400	0	0
757465	400	0	0
761969	400	0	0
766474	400	0	1421
770978	400	0	0
775483	400	0	1288
779987	400	1	861
784492	400	1	1015
788996	400	1	695
793501	400	1	510
798005	400	1	470
802509	400	1	524
807014	400	1	841
811518	400	0	571
816023	400	0	732
820527	400	1	682
825032	400	1	594
829536	400	1	897
834041	400	1	679
838545	400	0	660
843050	400	1	638
847554	400	1	889
852058	400	0	559
856563	400	0	1383
861067	400	1	524
865572	400	0	149
908031	400	0	1220
912535	400	1	488
917039	400	0	586
921544	400	0	1160
926048	400	1	607
930553	400	0	667
935057	400	1	518
939562	400	1	763
944066	400	1	692
948571	400	1	649
953075	400	1	761
957580	400	0	779
962084	400	1	690
966588	400	0	1353
971093	400	0	0
975597	400	0	706
980102	400	0	795
984606	400	1	1359
989111	400	0	0
993615	400	0	0
998120	400	1	481
1002624	400	0	0
1007129	400	1	614
1011633	400	0	0
1016138	400	1	1191
1020642	400	1	651
1025146	400	1	494
1029651	400	0	856
1034155	400	1	846
1038660	400	1	509
1043164	400	1	429
1047669	400	0	0
1052173	400	1	658
1056678	400	1	547
1061182	400	1	68
1065687	400	1	929
1070191	400	1	223
1074695	400	1	710
1079200	400	0	964
1083704	400	0	600
1088209	400	1	648
1092713	400	1	1009
1097218	400	0	812
1101722	400	0	757
1106227	400	1	1186
1110731	400	0	686
1115236	400	0	442
1119740	400	0	0
1124245	400	0	639
1128749	400	0	562
1133253	400	0	689
1137758	400	1	685
1142262	400	0	422
1146767	400	0	775
1151271	400	0	904
1155776	400	1	439
1160280	400	1	649
1164785	400	0	782
1169289	400	1	581
1173794	400	1	1102
1251654	400	0	558
1256158	400	0	704
1260663	400	0	819
1265167	400	0	0
1269672	400	1	633
1274176	400	1	768
1278681	400	0	1055
1283185	400	1	1476
1287690	400	0	553
1292194	400	0	735
1296699	400	1	643
1301203	400	0	743
1305707	400	0	0
1310212	400	0	311
1314716	400	0	0
1319221	400	0	0
1323725	400	0	559
1328230	400	0	828
1332734	400	0	424
1337239	400	1	700
1341743	400	0	580
1346248	400	1	437
1350752	400	1	704
1355256	400	1	741
1359761	400	1	1054
1364265	400	0	0
1368770	400	0	908
1373274	400	0	810
1377779	400	0	1529
1382283	400	1	735
1386788	400	1	481
1391292	400	1	906
1395797	400	0	738
1400301	400	0	725
1404806	400	0	0
1409310	400	0	575
1413814	400	1	471
1418319	400	0	1332
1422823	400	0	380
1427328	400	0	1152
1431832	400	1	1356
1436337	400	1	337
1440841	400	0	781
1445346	400	0	479
1449850	400	1	795
1454355	400	0	763
1458859	400	1	630
1463363	400	0	814
1467868	400	0	773
1472372	400	0	674
1476877	400	0	406
1481381	400	0	1057
1485886	400	1	703
1490390	400	1	543
1494895	400	0	819
1499399	400	0	429
1503904	400	1	1650
1508408	400	1	714
1512912	400	0	526
1517417	400	0	460
