onset	duration	ACC	RT
156934	400	1	815
161438	400	1	609
165943	400	1	602
170447	400	1	1431
174952	400	1	1085
179456	400	1	676
183961	400	1	625
188465	400	1	935
192970	400	1	755
197474	400	1	880
201979	400	1	625
206483	400	1	938
210988	400	1	636
215492	400	1	579
219997	400	1	893
224501	400	0	1399
229006	400	1	775
233510	400	1	729
238014	400	1	1232
242519	400	1	1006
247023	400	1	602
251528	400	1	947
256032	400	1	1145
260537	400	0	975
265041	400	0	1436
269546	400	1	1000
274050	400	1	1176
278555	400	1	1086
283059	400	1	882
287564	400	1	646
292068	400	1	633
296573	400	1	961
301077	400	1	926
305582	400	1	600
310086	400	1	688
314591	400	1	663
319095	400	1	1412
323600	400	1	841
328104	400	1	1103
332608	400	1	1071
337113	400	1	683
341617	400	0	1126
346122	400	1	865
350626	400	1	837
355131	400	1	682
359635	400	1	1183
364140	400	1	1457
368644	400	1	655
373149	400	1	1098
377653	400	1	898
382158	400	1	821
386662	400	0	797
391167	400	1	812
395671	400	1	725
400175	400	1	729
404680	400	1	564
409185	400	1	614
413689	400	1	865
418193	400	1	1397
422698	400	1	880
480422	400	1	1023
484926	400	0	932
489431	400	1	713
493935	400	1	623
498440	400	1	727
502944	400	1	936
507449	400	0	950
511953	400	0	1365
516458	400	0	1371
520962	400	1	744
525467	400	1	1519
529971	400	1	1169
534475	400	1	858
538980	400	1	621
543484	400	1	1210
547989	400	0	917
552493	400	1	787
556998	400	1	678
561502	400	1	720
566007	400	1	927
570511	400	1	588
575016	400	1	729
579520	400	1	649
584025	400	0	1296
588529	400	1	672
593034	400	1	854
597538	400	1	678
602043	400	1	1309
606547	400	1	695
611051	400	0	1116
615556	400	1	697
620060	400	0	1455
624565	400	1	806
629069	400	1	811
633574	400	1	861
638078	400	0	1305
642583	400	1	960
647087	400	1	678
651592	400	1	836
656096	400	1	1205
660601	400	0	1306
665105	400	1	819
669610	400	0	915
674114	400	1	771
678619	400	1	838
683123	400	1	934
687628	400	1	731
692132	400	1	698
696636	400	0	902
701141	400	0	1187
705645	400	1	1406
710150	400	0	1260
714654	400	0	1233
719159	400	0	883
723663	400	1	1556
728168	400	1	736
732672	400	1	655
737177	400	1	765
741681	400	1	1417
746185	400	1	901
789929	400	1	646
794433	400	1	1328
798938	400	1	1002
803442	400	0	1132
807947	400	1	678
812451	400	1	687
816956	400	1	869
821460	400	0	1131
825965	400	1	1205
830469	400	1	696
834974	400	1	665
839478	400	1	883
843983	400	1	1003
848487	400	1	580
852992	400	1	650
857496	400	0	1181
862000	400	0	0
866505	400	0	848
871009	400	1	858
875514	400	1	1220
880018	400	1	988
884523	400	1	809
889027	400	1	625
893532	400	1	862
898036	400	1	828
902541	400	1	700
907045	400	1	670
911550	400	1	679
916054	400	1	909
920558	400	1	1292
925063	400	0	0
929567	400	0	1165
934072	400	1	824
938576	400	0	1023
943081	400	0	914
947585	400	1	673
952090	400	1	669
956594	400	1	745
961099	400	0	1240
965603	400	1	807
970108	400	0	1152
974612	400	1	687
979117	400	0	726
983621	400	1	862
988126	400	1	651
992630	400	1	802
997134	400	1	642
1001639	400	1	817
1006143	400	1	1182
1010648	400	1	616
1015152	400	1	980
1019657	400	1	954
1024161	400	0	800
1028666	400	1	850
1033170	400	1	1272
1037675	400	1	693
1042179	400	1	592
1046684	400	1	744
1051188	400	1	743
1055693	400	1	987
1119689	400	1	554
1124194	400	0	781
1128698	400	1	652
1133203	400	1	874
1137707	400	1	637
1142212	400	1	633
1146716	400	1	678
1151221	400	1	1022
1155725	400	1	624
1160230	400	1	712
1164734	400	1	591
1169239	400	1	759
1173743	400	1	1618
1178247	400	1	1167
1182752	400	1	640
1187256	400	1	854
1191761	400	0	1365
1196265	400	0	1345
1200770	400	1	738
1205274	400	0	840
1209779	400	1	613
1214283	400	1	621
1218788	400	1	1056
1223292	400	1	968
1227797	400	1	631
1232301	400	1	1179
1236806	400	1	936
1241310	400	1	1243
1245815	400	1	715
1250319	400	1	926
1254823	400	1	731
1259328	400	1	1259
1263832	400	1	1247
1268337	400	1	635
1272841	400	0	0
1277346	400	1	714
1281850	400	1	606
1286355	400	1	684
1290859	400	1	699
1295364	400	0	0
1299868	400	1	837
1304373	400	1	968
1308877	400	1	588
1313382	400	1	768
1317886	400	1	596
1322391	400	1	671
1326895	400	1	645
1331399	400	1	667
1335904	400	0	904
1340408	400	1	642
1344913	400	1	1221
1349417	400	1	590
1353922	400	1	1001
1358426	400	1	574
1362931	400	1	696
1367435	400	1	569
1371940	400	0	968
1376444	400	1	889
1380949	400	1	689
1385453	400	1	562
