onset	duration	ACC	RT
187549	400	1	275
192054	400	0	1122
196558	400	1	810
201063	400	1	699
205567	400	1	349
210072	400	1	775
214576	400	1	1661
219081	400	1	417
223585	400	1	635
228090	400	1	1408
232594	400	0	919
237099	400	1	1467
241603	400	1	1381
246108	400	1	698
250612	400	1	670
255117	400	1	1092
259621	400	1	804
264125	400	0	1520
268630	400	1	670
273134	400	1	741
277639	400	1	741
282143	400	1	1027
286648	400	1	811
291152	400	1	1384
295657	400	1	1047
300161	400	1	1013
304666	400	0	1169
309170	400	1	775
313675	400	0	522
318179	400	1	1186
322683	400	1	1152
327188	400	1	828
331692	400	1	966
336197	400	1	1209
340701	400	1	800
345206	400	1	577
349710	400	1	699
354215	400	0	1060
358719	400	1	802
363224	400	1	684
367728	400	1	660
372233	400	1	630
376737	400	1	649
381242	400	1	1577
385746	400	1	754
390251	400	0	1225
394755	400	1	965
399259	400	1	1086
403764	400	1	659
408268	400	0	1290
412773	400	1	942
417277	400	1	1067
421782	400	1	1004
426286	400	1	616
430791	400	1	583
435295	400	1	794
439800	400	1	1083
444304	400	1	970
448808	400	1	621
453313	400	1	747
502662	400	1	1219
507166	400	1	897
511671	400	1	656
516175	400	1	1112
520680	400	1	882
525184	400	1	441
529689	400	0	726
534193	400	0	1600
538698	400	1	952
543202	400	0	0
547707	400	1	1157
552211	400	1	1262
556715	400	0	0
561220	400	1	1073
565724	400	1	1124
570229	400	1	979
574733	400	1	1572
579238	400	0	0
583742	400	0	0
588247	400	1	511
592751	400	1	873
597256	400	1	1498
601760	400	1	656
606265	400	1	935
610769	400	0	1440
615273	400	0	1489
619778	400	1	768
624282	400	1	452
628787	400	1	949
633291	400	1	912
637796	400	0	1597
642300	400	1	1052
646805	400	1	1207
651309	400	1	501
655814	400	0	912
660318	400	1	1385
664823	400	1	936
669327	400	1	1142
673832	400	1	720
678336	400	0	0
682840	400	0	977
687345	400	0	1659
691849	400	0	0
696354	400	0	851
700858	400	1	553
705363	400	1	724
709867	400	1	656
714372	400	1	650
718876	400	1	683
723381	400	0	1217
727885	400	1	893
732390	400	1	694
736894	400	1	723
741399	400	0	717
745903	400	1	809
750407	400	1	769
754912	400	1	663
759416	400	1	922
763921	400	1	438
768425	400	1	1598
812669	400	0	668
817174	400	1	572
821678	400	1	658
826183	400	0	640
830687	400	1	440
835192	400	0	849
839696	400	0	873
844200	400	0	1679
848705	400	1	539
853209	400	0	1271
857714	400	0	650
862218	400	1	629
866723	400	1	925
871227	400	1	426
875732	400	1	577
880236	400	1	975
884741	400	1	858
889245	400	1	1407
893750	400	1	988
898254	400	1	630
902759	400	1	1179
907263	400	1	614
911767	400	1	873
916272	400	0	1089
920776	400	1	1092
925281	400	1	774
929785	400	1	639
934290	400	0	0
938794	400	1	614
943299	400	1	792
947803	400	1	560
952308	400	1	638
956812	400	0	0
961317	400	1	947
965821	400	1	938
970326	400	1	1154
974830	400	0	0
979334	400	0	715
983839	400	0	1479
988343	400	1	543
992848	400	0	1293
997352	400	0	1204
1001857	400	1	556
1006361	400	1	837
1010866	400	0	1156
1015370	400	0	1345
1019875	400	1	1050
1024379	400	0	1220
1028884	400	1	1132
1033388	400	1	468
1037893	400	1	1157
1042397	400	0	1345
1046901	400	1	925
1051406	400	1	519
1055910	400	0	891
1060415	400	0	0
1064919	400	0	1363
1069424	400	0	1339
1073928	400	1	760
1078433	400	1	583
1122109	400	0	1065
1126614	400	1	516
1131118	400	1	477
1135623	400	0	1087
1140127	400	0	1112
1144632	400	1	532
1149136	400	1	866
1153641	400	0	782
1158145	400	0	766
1162650	400	1	636
1167154	400	1	885
1171658	400	1	484
1176163	400	0	756
1180667	400	1	983
1185172	400	1	601
1189676	400	1	1270
1194181	400	0	1486
1198685	400	1	773
1203190	400	1	1069
1207694	400	0	0
1212199	400	0	1512
1216703	400	0	1021
1221208	400	0	0
1225712	400	1	1260
1230217	400	0	706
1234721	400	1	450
1239225	400	1	1607
1243730	400	1	417
1248234	400	0	655
1252739	400	1	550
1257243	400	0	0
1261748	400	0	0
1266252	400	1	798
1270757	400	1	472
1275261	400	0	1339
1279766	400	1	1414
1284270	400	1	951
1288775	400	1	999
1293279	400	0	0
1297784	400	1	1522
1302288	400	1	898
1306793	400	1	1189
1311297	400	0	1435
1315801	400	0	828
1320306	400	0	1664
1324810	400	1	1508
1329315	400	1	533
1333819	400	1	1259
1338324	400	0	1189
1342828	400	1	1256
1347333	400	0	1450
1351837	400	0	1347
1356342	400	1	979
1360846	400	0	1010
1365351	400	1	801
1369855	400	0	0
1374359	400	0	0
1378864	400	1	584
1383368	400	1	526
1387873	400	0	768
