Simple	Choices S	Complex	Choices C
1 + 2	a. 4   b. 5   c. 3	1 + 1 + 1	a. 1   b. 2   c. 3
2 + 3	a. 5   b. 4   c. 7	10 + 1 + 1	a. 12   b. 13   c. 14
3 + 3	a. 8   b. 7   c. 6	10 + 2 + 2	a. 14   b. 18   c. 13
3 + 4	a. 10   b. 9   c. 7	10 + 3 + 1	a. 14   b. 17   c. 13
2 + 6	a. 8   b. 2   c. 1	10 + 3 + 3	a. 21   b. 15   c. 16
6 + 2	a. 4   b. 2   c. 8	10 + 4 + 1	a. 10   b. 15   c. 14
4 + 5	a. 15   b. 9   c. 13	10 + 4 + 3	a. 16   b. 15   c. 17
1 + 9	a. 0   b. 10   c. 3	10 + 5 + 4	a. 19   b. 22   c. 20
5 + 5	a. 4   b. 10   c. 8	10 + 5 + 5	a. 16   b. 27   c. 20
1 + 10	a. 12   b. 14   c. 11	11 + 1 + 1	a. 13   b. 11   c. 12
10 + 2	a. 15   b. 11   c. 12	11 + 2 + 1	a. 16   b. 13   c. 14
10 + 3	a. 15   b. 17   c. 13	11 + 3 + 1	a. 15   b. 17   c. 19
4 + 10	a. 14   b. 19   c. 15	11 + 3 + 2	a. 16   b. 15   c. 18
12 + 2	a. 16   b. 13   c. 14	11 + 4 + 1	a. 14   b. 16   c. 21
5 + 10	a. 15   b. 26   c. 22	11 + 5 + 1	a. 15   b. 17   c. 20
12 + 3	a. 15   b. 16   c. 18	11 + 5 + 3	a. 19   b. 15   c. 16
4 + 12	a. 6   b. 16   c. 14	11 + 6 + 1	a. 18   b. 15   c. 12
10 + 6	a. 18   b. 15   c. 16	11 + 6 + 1	a. 18   b. 15   c. 12
14 + 2	a. 16   b. 8   c. 10	11 + 8 + 1	a. 15   b. 20   c. 13
5 + 12	a. 23   b. 17   c. 15	12 + 2 + 1	a. 14   b. 15   c. 13
10 + 7	a. 19   b. 17   c. 24	12 + 3 + 1	a. 12   b. 16   c. 13
14 + 3	a. 17   b. 3   c. 10	12 + 3 + 2	a. 19   b. 17   c. 16
4 + 14	a. 28   b. 18   c. 11	12 + 3 + 3	a. 18   b. 21   c. 19
8 + 10	a. 18   b. 14   c. 27	12 + 5 + 2	a. 25   b. 19   c. 17
13 + 5	a. 5   b. 18   c. 6	13 + 3 + 2	a. 20   b. 18   c. 17
2 + 17	a. 19   b. 5   c. 36	13 + 4 + 3	a. 22   b. 20   c. 24
6 + 13	a. 3   b. 8   c. 19	13 + 5 + 1	a. 20   b. 25   c. 19
10 + 9	a. 14   b. 19   c. 12	14 + 2 + 1	a. 17   b. 16   c. 14
14 + 5	a. 18   b. 19   c. 22	14 + 2 + 2	a. 22   b. 19   c. 18
11 + 9	a. 20   b. 13   c. 29	14 + 4 + 2	a. 18   b. 20   c. 25
1-Feb	a. 3   b. 0   c. 1	2 + 1 - 1	a. 1   b. 2   c. 4
8-Sep	a. 1   b. -1   c. 6	2 + 1 - 3	a. 0   b. 6   c. 2
1-Mar	a. 4   b. 1   c. 2	2 + 1 + 1	a. 4   b. 6   c. 3
4-Jun	a. 1   b. 2   c. 0	2 + 1 + 1	a. 4   b. 6   c. 3
10-Dec	a. 0   b. -1   c. 2	2 + 2 - 1	a. 3   b. 5   c. 4
3-Jun	a. 3   b. 4   c. 5	2 + 2 - 4	a. 8   b. 0   c. -2
