onset	duration	ACC	RT
210204	400	0	1133
214708	400	1	815
219212	400	1	767
223717	400	0	1015
228221	400	1	811
232726	400	1	1015
237230	400	1	1661
241735	400	1	714
246239	400	0	814
250744	400	0	982
255248	400	1	649
259753	400	0	738
264257	400	1	806
268761	400	0	735
273266	400	0	703
277770	400	0	968
282275	400	1	524
286779	400	0	856
291284	400	0	1055
295788	400	1	736
300293	400	0	736
304797	400	0	722
309302	400	0	660
313806	400	0	706
318311	400	1	471
322815	400	1	676
327319	400	1	912
331824	400	0	623
336328	400	1	703
340833	400	1	760
345337	400	1	451
349842	400	1	594
354346	400	0	900
358851	400	0	614
363355	400	0	730
367860	400	1	658
372364	400	0	1171
376869	400	1	623
381373	400	1	488
385877	400	0	683
390382	400	1	624
394886	400	0	660
399391	400	0	1069
403895	400	1	560
408400	400	1	1038
412904	400	1	464
417409	400	0	797
421913	400	1	1480
426418	400	0	624
430922	400	1	537
435427	400	0	661
439931	400	1	665
444435	400	1	795
448940	400	0	668
453444	400	1	699
457949	400	0	684
462453	400	0	596
466958	400	1	457
471462	400	1	505
475967	400	0	593
537494	400	1	658
541999	400	1	839
546503	400	0	592
551008	400	0	650
555512	400	0	502
560017	400	0	440
564521	400	0	717
569026	400	1	494
573530	400	0	487
578034	400	0	475
582539	400	1	874
587043	400	1	506
591548	400	1	670
596052	400	1	531
600557	400	0	675
605061	400	0	897
609566	400	1	678
614070	400	0	678
618575	400	1	1004
623079	400	1	977
627584	400	0	1233
632088	400	1	1237
636592	400	0	625
641097	400	0	632
645601	400	1	555
650106	400	1	602
654610	400	0	554
659115	400	0	914
663619	400	0	535
668124	400	0	1135
672628	400	1	424
677133	400	0	822
681637	400	0	914
686142	400	1	610
690646	400	0	842
695150	400	1	649
699655	400	0	1069
704159	400	1	685
708664	400	1	638
713168	400	1	734
717673	400	1	513
722177	400	1	720
726682	400	0	641
731186	400	0	688
735691	400	1	367
740195	400	0	748
744700	400	1	854
749204	400	1	594
753708	400	1	13
758213	400	0	701
762717	400	0	618
767222	400	1	683
771726	400	1	462
776231	400	0	753
780735	400	0	527
785240	400	0	593
789744	400	1	482
794249	400	1	587
798753	400	1	798
803258	400	0	1012
884605	400	0	392
889109	400	1	694
893614	400	0	461
898118	400	0	570
902623	400	0	670
907127	400	1	574
911631	400	0	507
916136	400	1	853
920640	400	0	634
925145	400	1	1136
929649	400	0	1128
934154	400	1	1310
938658	400	0	756
943163	400	0	956
947667	400	1	740
952172	400	0	975
956676	400	1	1358
961181	400	0	1243
965685	400	1	589
970189	400	0	1163
974694	400	0	1266
979198	400	0	707
983703	400	0	1135
988207	400	0	897
992712	400	0	845
997216	400	1	859
1001721	400	0	752
1006225	400	1	780
1010730	400	0	961
1015234	400	1	716
1019739	400	1	821
1024243	400	1	728
1028748	400	1	675
1033252	400	1	770
1037756	400	0	614
1042261	400	1	663
1046765	400	1	515
1051270	400	1	880
1055774	400	0	747
1060279	400	1	536
1064783	400	1	588
1069288	400	1	1207
1073792	400	1	865
1078297	400	0	620
1082801	400	0	1248
1087306	400	1	656
1091810	400	1	1075
1096314	400	0	727
1100819	400	1	970
1105323	400	0	812
1109828	400	0	788
1114332	400	1	772
1118837	400	1	660
1123341	400	0	1220
1127846	400	0	1101
1132350	400	1	742
1136855	400	0	1335
1141359	400	1	923
1145864	400	1	1037
1150368	400	1	1149
1237788	400	0	606
1242292	400	0	676
1246797	400	1	882
1251301	400	1	1004
1255806	400	1	738
1260310	400	0	723
1264815	400	0	493
1269319	400	1	599
1273824	400	1	999
1278328	400	0	653
1282833	400	0	943
1287337	400	1	759
1291842	400	1	740
1296346	400	1	659
1300850	400	1	900
1305355	400	1	697
1309859	400	0	686
1314364	400	1	806
1318868	400	1	717
1323373	400	1	1140
1327877	400	1	605
1332382	400	0	859
1336886	400	0	0
1341391	400	0	1332
1345895	400	1	461
1350399	400	1	951
1354904	400	1	1057
1359408	400	1	757
1363913	400	0	722
1368417	400	0	897
1372922	400	1	884
1377426	400	1	650
1381931	400	1	808
1386435	400	1	641
1390940	400	1	595
1395444	400	0	655
1399948	400	0	722
1404453	400	1	712
1408957	400	1	475
1413462	400	1	827
1417966	400	1	621
1422471	400	0	569
1426975	400	1	560
1431480	400	1	816
1435984	400	1	1076
1440489	400	1	657
1444993	400	1	563
1449498	400	1	863
1454002	400	1	536
1458506	400	1	433
1463011	400	1	700
1467515	400	1	512
1472020	400	0	938
1476524	400	1	894
1481029	400	1	849
1485533	400	1	666
1490038	400	0	738
1494542	400	0	841
1499047	400	1	1259
