onset	duration	ACC	RT
143859	400	1	492
148363	400	0	837
152867	400	0	470
157372	400	0	724
161876	400	1	629
166381	400	0	681
170885	400	0	717
175390	400	1	674
179894	400	1	641
184399	400	1	389
188903	400	0	1120
193408	400	1	514
197912	400	1	497
202417	400	1	721
206921	400	1	680
211426	400	1	682
215930	400	1	624
220434	400	1	489
224939	400	1	309
229443	400	1	761
233948	400	1	698
238452	400	0	1320
242957	400	1	788
247461	400	1	547
251966	400	1	785
256470	400	0	692
260975	400	1	522
265479	400	0	516
269984	400	0	1176
274488	400	0	981
278993	400	1	766
283497	400	0	840
288001	400	0	1266
292506	400	1	1317
297010	400	1	607
301515	400	1	431
306019	400	1	516
310524	400	1	705
315028	400	1	732
319533	400	1	609
324037	400	1	932
328542	400	1	642
333046	400	1	736
337551	400	0	0
342055	400	1	1002
346559	400	1	848
351064	400	0	983
355568	400	0	365
360073	400	0	1248
364577	400	0	1189
369082	400	1	1045
373586	400	1	854
378091	400	1	844
382595	400	1	605
387100	400	1	731
391604	400	0	794
396109	400	1	695
400613	400	1	939
405118	400	1	891
409622	400	1	1165
439251	400	1	1209
443756	400	0	602
448260	400	1	711
452765	400	1	296
457269	400	1	389
461774	400	0	630
466278	400	1	534
470783	400	1	415
475287	400	0	759
479792	400	0	734
484296	400	1	763
488801	400	0	648
493305	400	0	1078
497809	400	1	545
502314	400	1	405
506818	400	1	699
511323	400	1	883
515827	400	0	443
520332	400	1	428
524836	400	0	354
529341	400	0	479
533845	400	0	304
538350	400	0	687
542854	400	0	1018
547359	400	0	432
551863	400	1	596
556367	400	1	856
560872	400	1	710
565376	400	0	987
569881	400	0	1399
574385	400	1	901
578890	400	1	368
583394	400	1	1157
587899	400	1	1234
592403	400	0	792
596908	400	1	652
601412	400	1	450
605917	400	1	416
610421	400	0	361
614925	400	1	1017
619430	400	1	1605
623934	400	0	592
628439	400	0	131
632943	400	1	362
637448	400	0	434
641952	400	1	740
646457	400	0	622
650961	400	1	1197
655466	400	0	642
659970	400	1	777
664475	400	1	475
668979	400	1	1017
673484	400	0	681
677988	400	1	483
682492	400	0	291
686997	400	1	524
691501	400	1	393
696006	400	0	427
700510	400	0	736
705015	400	0	819
745004	400	0	800
749509	400	0	548
754013	400	1	331
758518	400	1	881
763022	400	1	763
767527	400	1	708
772031	400	0	872
776536	400	1	1117
781040	400	1	1132
785545	400	1	526
790049	400	0	415
794553	400	1	681
799058	400	1	540
803562	400	0	594
808067	400	1	691
812571	400	1	1010
817076	400	0	546
821580	400	1	1094
826085	400	1	1151
830589	400	1	485
835094	400	1	358
839598	400	0	437
844103	400	1	423
848607	400	0	1307
853112	400	0	947
857616	400	0	309
862120	400	1	602
866625	400	0	535
871129	400	0	475
875634	400	1	591
880138	400	0	594
884643	400	1	432
889147	400	0	324
893652	400	0	0
898156	400	1	488
902661	400	0	712
907165	400	1	525
911670	400	1	491
916174	400	1	648
920678	400	0	361
925183	400	1	519
929687	400	0	574
934192	400	0	1048
938696	400	1	300
943201	400	1	569
947705	400	0	425
952210	400	1	1422
956714	400	0	1568
961219	400	0	383
965723	400	0	0
970228	400	1	498
974732	400	0	300
979236	400	0	1164
983741	400	1	947
988245	400	1	482
992750	400	1	1008
997254	400	0	0
1001759	400	0	0
1006263	400	0	0
1010768	400	0	0
1050340	400	0	342
1054845	400	0	470
1059349	400	0	655
1063854	400	0	610
1068358	400	1	634
1072863	400	1	1050
1077367	400	0	1449
1081871	400	0	1316
1086376	400	0	286
1090880	400	0	287
1095385	400	0	1205
1099889	400	0	1301
1104394	400	0	278
1108898	400	0	511
1113403	400	1	804
1117907	400	1	592
1122412	400	0	457
1126916	400	1	352
1131421	400	1	467
1135925	400	1	448
1140429	400	1	515
1144934	400	1	1151
1149438	400	1	580
1153943	400	0	720
1158447	400	0	467
1162952	400	0	698
1167456	400	0	875
1171961	400	1	412
1176465	400	1	427
1180970	400	0	668
1185474	400	0	530
1189979	400	1	565
1194483	400	0	702
1198988	400	1	804
1203492	400	0	0
1207996	400	1	609
1212501	400	0	681
1217005	400	0	478
1221510	400	0	412
1226014	400	0	1665
1230519	400	0	578
1235023	400	0	0
1239528	400	0	0
1244032	400	0	712
1248537	400	0	551
1253041	400	0	859
1257546	400	0	955
1262050	400	1	637
1266555	400	0	1106
1271059	400	1	767
1275563	400	1	746
1280068	400	1	307
1284572	400	1	644
1289077	400	1	529
1293581	400	1	338
1298086	400	0	366
1302590	400	0	734
1307095	400	1	653
1311599	400	1	1338
1316104	400	1	736
