onset	duration	ACC	RT
153950	400	0	921
158454	400	0	893
162959	400	1	613
167463	400	1	615
171968	400	1	636
176472	400	0	781
180977	400	1	584
185481	400	1	865
189986	400	0	1149
194490	400	1	546
198995	400	1	407
203499	400	0	626
208003	400	0	706
212508	400	1	964
217012	400	0	1198
221517	400	1	426
226021	400	1	415
230526	400	1	496
235030	400	0	663
239535	400	1	400
244039	400	0	562
248544	400	0	663
253048	400	1	568
257553	400	1	385
262057	400	0	826
266561	400	0	603
271066	400	0	620
275570	400	1	582
280075	400	1	568
284579	400	1	1237
289084	400	1	557
293588	400	0	379
298093	400	0	431
302597	400	1	429
307102	400	1	465
311606	400	1	740
316111	400	1	637
320615	400	0	593
325120	400	0	881
329624	400	1	632
334129	400	0	563
338633	400	0	830
343137	400	0	406
347642	400	1	455
352146	400	1	532
356651	400	1	573
361155	400	0	418
365660	400	0	302
370164	400	1	469
374669	400	1	509
379173	400	1	504
383678	400	0	476
388182	400	1	547
392686	400	0	300
397191	400	0	812
401695	400	1	729
406200	400	0	477
410704	400	0	1020
415209	400	0	608
419713	400	1	693
469429	400	1	259
473934	400	1	441
478438	400	1	409
482943	400	1	522
487447	400	0	583
491952	400	1	1011
496456	400	1	581
500960	400	1	913
505465	400	1	398
509969	400	1	697
514474	400	1	568
518978	400	0	1077
523483	400	1	519
527987	400	1	380
532492	400	1	618
536996	400	0	718
541500	400	1	429
546005	400	1	732
550509	400	0	755
555014	400	1	514
559518	400	0	632
564023	400	1	575
568527	400	1	445
573032	400	0	437
577536	400	0	348
582041	400	0	279
586545	400	1	696
591050	400	1	365
595554	400	1	617
600059	400	0	613
604563	400	0	751
609068	400	1	984
613572	400	1	495
618076	400	1	820
622581	400	0	546
627085	400	1	565
631590	400	0	429
636094	400	0	602
640599	400	1	811
645103	400	1	447
649608	400	1	535
654112	400	1	513
658617	400	0	402
663121	400	1	468
667625	400	0	699
672130	400	0	446
676634	400	0	601
681139	400	0	468
685643	400	1	883
690148	400	1	424
694652	400	1	624
699157	400	1	1033
703661	400	1	381
708166	400	1	524
712670	400	1	684
717174	400	0	388
721679	400	1	372
726183	400	1	647
730688	400	1	559
735192	400	0	717
765823	400	0	496
770327	400	0	593
774832	400	1	519
779336	400	0	995
783841	400	1	667
788345	400	1	608
792849	400	0	384
797354	400	1	483
801858	400	1	495
806363	400	1	505
810867	400	0	657
815372	400	1	559
819876	400	0	755
824381	400	1	461
828885	400	0	1001
833390	400	1	497
837894	400	0	478
842399	400	1	459
846903	400	0	735
851407	400	0	559
855912	400	1	744
860416	400	1	469
864921	400	1	1072
869425	400	0	741
873930	400	1	631
878434	400	1	462
882938	400	1	471
887443	400	0	620
891947	400	1	600
896452	400	1	503
900956	400	1	634
905461	400	1	693
909965	400	0	362
914470	400	0	913
918974	400	1	775
923479	400	1	528
927983	400	0	895
932488	400	0	674
936992	400	1	509
941496	400	1	612
946001	400	0	846
950505	400	1	748
955010	400	1	759
959514	400	0	826
964019	400	0	517
968523	400	1	515
973028	400	1	453
977532	400	1	722
982037	400	0	796
986541	400	1	605
991046	400	1	497
995550	400	1	835
1000054	400	1	499
1004559	400	0	631
1009063	400	0	269
1013568	400	1	608
1018072	400	0	255
1022577	400	1	900
1027081	400	0	652
1031586	400	1	957
1069023	400	1	472
1073527	400	1	466
1078032	400	1	632
1082536	400	1	412
1087041	400	1	344
1091545	400	1	730
1096050	400	1	356
1100554	400	1	717
1105059	400	1	871
1109563	400	0	548
1114067	400	0	626
1118572	400	1	449
1123076	400	0	979
1127581	400	1	666
1132085	400	1	561
1136590	400	1	896
1141094	400	0	647
1145598	400	1	705
1150103	400	0	384
1154607	400	1	818
1159112	400	1	514
1163616	400	0	496
1168121	400	1	525
1172625	400	1	556
1177130	400	1	457
1181634	400	1	541
1186139	400	1	597
1190643	400	0	604
1195148	400	1	351
1199652	400	0	762
1204156	400	1	629
1208661	400	1	418
1213165	400	0	326
1217670	400	0	1311
1222174	400	0	701
1226679	400	1	482
1231183	400	1	714
1235688	400	1	680
1240192	400	0	1007
1244697	400	1	527
1249201	400	0	709
1253705	400	0	849
1258210	400	1	448
1262714	400	0	479
1267219	400	1	600
1271723	400	1	626
1276228	400	1	833
1280732	400	1	1056
1285237	400	1	562
1289741	400	1	438
1294246	400	0	322
1298750	400	1	600
1303255	400	1	782
1307759	400	0	631
1312263	400	1	525
1316768	400	1	935
1321272	400	1	546
1325777	400	0	344
1330281	400	1	661
1334786	400	1	664
