onset	duration	ACC	RT
84991	400	1	593
89495	400	1	661
94000	400	1	794
98504	400	0	1343
103009	400	1	663
107513	400	1	787
112017	400	1	639
116522	400	1	637
121026	400	1	855
125531	400	1	674
130035	400	1	643
134540	400	0	1014
139044	400	1	807
143549	400	1	1090
148053	400	0	1274
152558	400	1	828
157062	400	1	738
161567	400	1	636
166071	400	1	841
170576	400	1	737
175080	400	1	660
179584	400	1	532
184089	400	1	659
188593	400	1	632
193098	400	1	663
197602	400	1	1089
202107	400	1	640
206611	400	0	790
211116	400	1	1149
215620	400	1	777
220125	400	1	712
224629	400	1	654
229134	400	1	566
233638	400	1	574
238143	400	1	713
242647	400	1	686
247151	400	1	451
251656	400	0	1133
256160	400	1	912
260665	400	1	837
265169	400	1	954
269674	400	1	690
274178	400	1	633
278683	400	1	541
283187	400	1	745
287692	400	1	1213
292196	400	0	1140
296701	400	1	726
301205	400	1	1044
305710	400	1	815
310214	400	1	622
314718	400	1	589
319223	400	1	874
323727	400	1	544
328232	400	1	543
332736	400	1	446
337241	400	1	717
341745	400	1	625
346250	400	1	426
350754	400	1	581
399452	400	1	664
403957	400	1	627
408461	400	1	734
412966	400	1	512
417470	400	1	691
421975	400	1	826
426479	400	0	1082
430984	400	1	1009
435488	400	0	895
439993	400	0	1076
444497	400	1	968
449002	400	1	1483
453506	400	1	791
458010	400	1	795
462515	400	0	1153
467019	400	0	1275
471524	400	1	608
476028	400	1	745
480533	400	1	723
485037	400	1	790
489542	400	0	649
494046	400	1	397
498551	400	1	579
503055	400	1	709
507560	400	1	604
512064	400	1	619
516568	400	1	592
521073	400	1	564
525577	400	1	1051
530082	400	0	657
534586	400	0	716
539091	400	1	897
543595	400	1	990
548100	400	1	615
552604	400	1	765
557109	400	1	1078
561613	400	1	451
566118	400	1	488
570622	400	1	767
575127	400	1	663
579631	400	1	856
584136	400	0	1141
588640	400	1	593
593144	400	1	893
597649	400	1	629
602153	400	1	646
606658	400	1	552
611162	400	1	1310
615667	400	1	588
620171	400	1	669
624676	400	1	769
629180	400	1	490
633685	400	1	746
638189	400	0	832
642694	400	1	1014
647198	400	1	791
651703	400	1	560
656207	400	1	1077
660711	400	0	1327
665216	400	0	1660
707608	400	1	738
712112	400	1	723
716617	400	1	585
721121	400	0	853
725626	400	1	457
730130	400	1	775
734635	400	1	835
739139	400	0	1277
743644	400	1	704
748148	400	1	831
752653	400	1	632
757157	400	1	470
761662	400	1	939
766166	400	1	1517
770670	400	1	1079
775175	400	1	589
779679	400	1	433
784184	400	0	1087
788688	400	1	831
793193	400	1	946
797697	400	1	777
802202	400	1	713
806706	400	1	613
811211	400	1	959
815715	400	1	778
820220	400	1	902
824724	400	1	547
829228	400	1	471
833733	400	1	689
838237	400	1	509
842742	400	0	907
847246	400	1	919
851751	400	1	1322
856255	400	0	1274
860760	400	1	427
865264	400	1	637
869769	400	1	785
874273	400	1	360
878778	400	0	674
883282	400	1	907
887787	400	1	833
892291	400	1	665
896795	400	1	634
901300	400	1	1415
905804	400	0	735
910309	400	1	682
914813	400	1	500
919318	400	1	644
923822	400	1	1291
928327	400	1	654
932831	400	1	438
937336	400	1	884
941840	400	1	800
946345	400	0	1182
950849	400	1	676
955354	400	1	786
959858	400	0	0
964363	400	1	739
968867	400	1	435
973371	400	1	534
1003151	400	1	1034
1007655	400	1	782
1012160	400	1	682
1016664	400	1	934
1021169	400	1	757
1025673	400	1	1007
1030178	400	0	649
1034682	400	1	800
1039187	400	1	745
1043691	400	1	1143
1048196	400	1	820
1052700	400	0	1113
1057204	400	1	985
1061709	400	0	847
1066213	400	0	1161
1070718	400	0	1454
1075222	400	1	805
1079727	400	1	779
1084231	400	0	783
1088736	400	0	857
1093240	400	1	1245
1097745	400	1	890
1102249	400	0	822
1106754	400	1	643
1111258	400	1	559
1115762	400	1	432
1120267	400	0	754
1124771	400	1	549
1129276	400	1	907
1133780	400	1	675
1138285	400	0	1203
1142789	400	1	874
1147294	400	1	790
1151798	400	0	1029
1156303	400	0	469
1160807	400	1	812
1165312	400	0	1031
1169816	400	1	855
1174321	400	0	1377
1178825	400	1	698
1183329	400	1	766
1187834	400	1	702
1192338	400	1	566
1196843	400	1	1029
1201347	400	1	480
1205852	400	1	647
1210356	400	0	1052
1214861	400	0	780
1219365	400	1	626
1223870	400	1	513
1228374	400	0	1410
1232879	400	1	1061
1237383	400	1	577
1241887	400	1	732
1246392	400	1	604
1250896	400	1	526
1255401	400	1	1080
1259905	400	1	878
1264410	400	1	642
1268914	400	0	641
