onset	duration	ACC	RT
171597	400	0	608
176102	400	1	736
180606	400	1	389
185110	400	0	535
189615	400	0	331
194119	400	0	433
198624	400	1	619
203128	400	0	1123
207633	400	1	385
212137	400	0	321
216642	400	1	597
221146	400	1	389
225651	400	1	657
230155	400	1	788
234659	400	1	521
239164	400	1	584
243668	400	1	377
248173	400	1	374
252677	400	1	428
257182	400	1	475
261686	400	1	407
266191	400	1	700
270695	400	1	491
275200	400	0	801
279704	400	1	224
284209	400	1	541
288713	400	1	672
293218	400	0	597
297722	400	1	423
302227	400	1	682
306731	400	1	433
311235	400	1	413
315740	400	1	414
320244	400	1	391
324749	400	1	1133
329253	400	1	873
333758	400	1	492
338262	400	1	452
342767	400	1	609
347271	400	1	543
351776	400	1	609
356280	400	1	360
360785	400	1	408
365289	400	1	851
369794	400	1	734
374298	400	1	567
378802	400	1	387
383307	400	1	617
387811	400	1	502
392316	400	1	1625
396820	400	1	365
401325	400	1	418
405829	400	1	467
410334	400	0	1023
414838	400	1	501
419343	400	1	644
423847	400	1	457
428352	400	1	689
432856	400	1	605
437361	400	1	494
475665	400	1	520
480170	400	1	471
484674	400	1	708
489179	400	1	400
493683	400	1	376
498188	400	1	696
502692	400	0	742
507196	400	0	184
511701	400	1	484
516205	400	1	445
520710	400	1	748
525214	400	0	789
529719	400	1	457
534223	400	1	468
538728	400	1	452
543232	400	0	562
547737	400	1	737
552241	400	1	471
556745	400	1	402
561250	400	1	462
565754	400	1	487
570259	400	0	495
574763	400	1	430
579268	400	1	492
583772	400	1	601
588277	400	1	874
592781	400	1	456
597286	400	1	479
601790	400	1	958
606295	400	1	539
610799	400	1	932
615304	400	1	481
619808	400	1	848
624313	400	1	460
628817	400	1	714
633322	400	1	613
637826	400	1	335
642331	400	1	384
646835	400	1	483
651339	400	1	417
655844	400	1	771
660348	400	1	578
664853	400	1	594
669357	400	1	1235
673862	400	1	548
678366	400	1	513
682871	400	1	629
687375	400	1	508
691880	400	1	497
696384	400	0	1066
700888	400	1	495
705393	400	1	576
709897	400	1	543
714402	400	1	398
718906	400	0	752
723411	400	0	597
727915	400	1	548
732420	400	1	1117
736924	400	0	740
741429	400	0	613
772343	400	0	557
776847	400	1	660
781352	400	1	423
785856	400	0	611
790361	400	0	1161
794865	400	1	591
799369	400	1	658
803874	400	1	1047
808378	400	1	499
812883	400	1	482
817387	400	1	702
821892	400	0	586
826396	400	1	678
830901	400	0	957
835405	400	0	1076
839910	400	0	944
844414	400	1	410
848919	400	1	461
853423	400	0	1031
857928	400	1	420
862432	400	1	563
866936	400	0	461
871441	400	1	697
875945	400	0	726
880450	400	1	596
884954	400	1	514
889459	400	0	1150
893963	400	1	498
898468	400	1	907
902972	400	1	423
907477	400	1	491
911981	400	1	994
916485	400	1	565
920990	400	1	474
925494	400	1	485
929999	400	1	573
934503	400	1	590
939008	400	1	438
943512	400	0	773
948017	400	0	1637
952521	400	1	1199
957026	400	1	474
961530	400	1	365
966035	400	1	373
970539	400	1	855
975044	400	1	650
979548	400	1	545
984053	400	0	746
988557	400	1	548
993061	400	1	453
997566	400	0	1082
1002070	400	1	487
1006575	400	0	346
1011079	400	1	650
1015584	400	0	722
1020088	400	1	486
1024593	400	0	759
1029097	400	0	931
1033602	400	1	460
1038106	400	1	483
1070839	400	1	353
1075343	400	1	520
1079847	400	1	803
1084352	400	1	547
1088856	400	1	506
1093361	400	1	762
1097865	400	1	429
1102370	400	1	632
1106874	400	1	784
1111379	400	1	405
1115883	400	1	573
1120388	400	1	733
1124892	400	1	527
1129396	400	1	518
1133901	400	0	790
1138405	400	1	787
1142910	400	1	610
1147414	400	1	620
1151919	400	1	325
1156423	400	1	415
1160928	400	1	408
1165432	400	1	387
1169937	400	1	517
1174441	400	1	387
1178946	400	0	642
1183450	400	1	513
1187955	400	1	495
1192459	400	1	580
1196963	400	1	506
1201468	400	1	439
1205972	400	1	585
1210477	400	1	679
1214981	400	1	363
1219486	400	1	356
1223990	400	1	555
1228495	400	1	467
1232999	400	0	792
1237504	400	0	692
1242008	400	1	791
1246513	400	1	1009
1251017	400	1	716
1255522	400	1	558
1260026	400	1	576
1264530	400	0	866
1269035	400	1	552
1273539	400	0	952
1278044	400	0	1059
1282548	400	0	610
1287053	400	1	418
1291557	400	1	404
1296062	400	1	497
1300566	400	1	352
1305071	400	0	849
1309575	400	1	653
1314080	400	1	473
1318584	400	1	609
1323088	400	1	504
1327593	400	1	397
1332097	400	1	584
1336602	400	1	438
