onset	duration	ACC	RT
168037	400	1	558
172542	400	1	440
177046	400	1	994
181550	400	1	538
186055	400	1	802
190559	400	1	535
195064	400	1	521
199568	400	1	630
204073	400	1	435
208577	400	1	444
213082	400	1	556
217586	400	1	463
222091	400	1	513
226595	400	1	442
231100	400	1	723
235604	400	1	698
240109	400	1	599
244613	400	1	584
249117	400	1	715
253622	400	1	565
258126	400	1	702
262631	400	1	552
267135	400	1	619
271640	400	1	554
276144	400	1	555
280649	400	1	513
285153	400	1	654
289658	400	1	805
294162	400	1	687
298667	400	1	733
303171	400	1	518
307675	400	1	867
312180	400	1	498
316684	400	1	464
321189	400	1	737
325693	400	1	513
330198	400	0	1115
334702	400	1	774
339207	400	1	541
343711	400	1	528
348216	400	1	597
352720	400	1	544
357225	400	1	677
361729	400	1	656
366234	400	1	487
370738	400	0	0
375242	400	0	337
379747	400	0	590
384251	400	1	618
388756	400	1	527
393260	400	0	722
397765	400	1	439
402269	400	1	407
406774	400	1	521
411278	400	1	1294
415783	400	1	480
420287	400	1	503
424792	400	1	598
429296	400	1	652
433801	400	0	560
468652	400	1	521
473156	400	1	558
477661	400	1	656
482165	400	1	589
486670	400	1	410
491174	400	1	562
495678	400	1	1017
500183	400	1	474
504687	400	0	654
509192	400	0	1232
513696	400	1	638
518201	400	1	617
522705	400	1	461
527210	400	1	524
531714	400	1	510
536219	400	1	722
540723	400	0	1230
545228	400	1	486
549732	400	1	753
554237	400	1	654
558741	400	0	1414
563246	400	1	661
567750	400	1	691
572255	400	1	582
576759	400	1	550
581263	400	1	579
585768	400	0	868
590272	400	1	529
594777	400	1	634
599281	400	1	564
603786	400	1	552
608290	400	0	483
612795	400	1	1206
617299	400	1	368
621804	400	1	532
626308	400	0	1228
630813	400	1	636
635317	400	1	545
639822	400	0	1146
644326	400	1	529
648830	400	1	806
653335	400	1	1537
657839	400	0	989
662344	400	1	421
666848	400	1	400
671353	400	1	1126
675857	400	0	1362
680362	400	1	594
684866	400	1	587
689371	400	1	476
693875	400	0	782
698380	400	1	1379
702884	400	1	711
707389	400	0	964
711893	400	1	487
716397	400	1	469
720902	400	1	495
725406	400	1	824
729911	400	1	679
734415	400	1	745
763044	400	1	538
767548	400	1	665
772053	400	0	895
776557	400	1	1044
781062	400	1	865
785566	400	1	1057
790070	400	1	548
794575	400	0	1387
799079	400	1	570
803584	400	1	653
808088	400	1	680
812593	400	0	1214
817097	400	0	806
821602	400	1	769
826106	400	1	624
830611	400	0	1141
835115	400	1	1372
839620	400	1	550
844124	400	1	885
848628	400	1	579
853133	400	1	921
857637	400	1	949
862142	400	1	574
866646	400	0	313
871151	400	1	1325
875655	400	1	789
880160	400	1	939
884664	400	1	434
889169	400	1	685
893673	400	1	511
898178	400	1	623
902682	400	1	652
907187	400	1	644
911691	400	1	892
916195	400	1	588
920700	400	1	1308
925204	400	1	1260
929709	400	0	582
934213	400	1	886
938718	400	1	526
943222	400	1	667
947727	400	1	995
952231	400	1	986
956736	400	0	441
961240	400	1	1550
965745	400	0	768
970249	400	1	981
974754	400	1	635
979258	400	1	851
983763	400	1	597
988267	400	1	595
992772	400	0	789
997276	400	0	552
1001780	400	1	579
1006285	400	0	654
1010789	400	1	738
1015294	400	0	340
1019798	400	1	628
1024303	400	1	556
1028807	400	0	725
2620177	400	1	451
2624682	400	1	498
2629186	400	1	548
2633691	400	1	631
2638195	400	1	593
2642700	400	1	631
2647204	400	1	484
2651708	400	1	559
2656213	400	1	1094
2660717	400	1	478
2665222	400	0	1107
2669726	400	1	732
2674231	400	1	590
2678735	400	0	1277
2683240	400	1	870
2687744	400	1	630
2692249	400	1	502
2696753	400	1	640
2701258	400	1	527
2705762	400	1	533
2710267	400	1	544
2714771	400	1	808
2719275	400	1	455
2723780	400	1	502
2728284	400	1	727
2732789	400	1	677
2737293	400	0	1048
2741798	400	1	483
2746302	400	0	683
2750807	400	0	964
2755311	400	1	700
2759816	400	1	460
2764320	400	1	490
2768825	400	1	823
2773329	400	1	364
2777833	400	1	688
2782338	400	1	572
2786842	400	1	714
2791347	400	1	569
2795851	400	1	439
2800356	400	1	529
2804860	400	1	411
2809365	400	1	1027
2813869	400	1	706
2818374	400	1	617
2822878	400	1	532
2827383	400	1	526
2831887	400	1	836
2836391	400	1	791
2840896	400	1	598
2845400	400	1	498
2849905	400	1	602
2854409	400	1	413
2858914	400	1	430
2863418	400	1	501
2867923	400	1	512
2872427	400	0	834
2876932	400	1	555
2881436	400	1	550
2885941	400	0	850
