onset	duration	ACC	RT
186695	400	1	873
191200	400	0	722
195704	400	0	1158
200208	400	0	1490
204713	400	0	1320
209217	400	1	850
213722	400	1	610
218226	400	0	881
222731	400	0	873
227235	400	0	1007
231740	400	0	596
236244	400	0	1091
240749	400	0	1297
245253	400	0	889
249758	400	0	994
254262	400	1	1155
258767	400	1	742
263271	400	1	1024
267776	400	0	433
272280	400	0	903
276784	400	0	708
281289	400	1	937
285793	400	1	1221
290298	400	1	483
294802	400	1	567
299307	400	0	418
303811	400	1	919
308316	400	1	495
312820	400	0	837
317325	400	1	486
321829	400	0	826
326334	400	1	690
330838	400	1	670
335343	400	1	839
339847	400	1	674
344351	400	1	606
348856	400	0	1235
353360	400	0	1164
357865	400	1	954
362369	400	1	1212
366874	400	1	751
371378	400	0	865
375883	400	1	1078
380387	400	0	1099
384892	400	1	540
389396	400	1	930
393901	400	0	1044
398405	400	0	1165
402909	400	1	814
407414	400	0	929
411918	400	1	822
416423	400	1	808
420927	400	0	1447
425432	400	1	842
429936	400	1	471
434441	400	1	1472
438945	400	0	921
443450	400	0	728
447954	400	1	702
452459	400	1	473
501273	400	1	893
505778	400	1	485
510283	400	0	902
514787	400	0	711
519292	400	1	1310
523796	400	1	1060
528300	400	0	344
532805	400	0	516
537309	400	0	916
541814	400	0	1254
546318	400	1	1076
550823	400	1	996
555327	400	0	885
559832	400	0	755
564336	400	0	0
568841	400	1	544
573345	400	0	780
577850	400	0	386
582354	400	0	0
586858	400	1	1138
591363	400	1	735
595867	400	0	423
600372	400	0	589
604876	400	0	618
609381	400	0	688
613885	400	1	1068
618390	400	1	700
622894	400	1	731
627399	400	0	0
631903	400	0	0
636408	400	1	956
640912	400	1	1098
645417	400	0	1008
649921	400	1	686
654425	400	1	720
658930	400	0	397
663434	400	0	690
667939	400	1	259
672443	400	1	1080
676948	400	1	1121
681452	400	1	1036
685957	400	1	672
690461	400	1	951
694966	400	0	983
699470	400	0	527
703975	400	1	703
708479	400	1	1103
712983	400	1	978
717488	400	0	279
721992	400	0	0
726497	400	1	1008
731001	400	1	801
735506	400	1	474
740010	400	1	915
744515	400	1	800
749019	400	1	683
753523	400	1	994
758028	400	0	0
762532	400	1	248
767037	400	1	893
843796	400	0	600
848301	400	1	885
852805	400	1	1023
857310	400	0	735
861814	400	1	610
866319	400	0	727
870823	400	1	720
875327	400	0	900
879832	400	1	680
884336	400	1	708
888841	400	1	725
893345	400	0	1099
897850	400	0	996
902354	400	1	528
906859	400	0	1015
911363	400	0	1369
915868	400	0	0
920372	400	0	516
924877	400	0	912
929381	400	1	489
933885	400	0	1214
938390	400	1	1274
942894	400	0	1192
947399	400	0	0
951903	400	1	694
956408	400	1	1690
960912	400	0	1548
965417	400	0	1106
969921	400	0	965
974426	400	0	1147
978930	400	0	787
983434	400	1	1166
987939	400	0	843
992443	400	0	911
996948	400	0	0
1001452	400	1	559
1005957	400	0	668
1010461	400	1	1437
1014966	400	1	1540
1019470	400	1	857
1023975	400	1	760
1028479	400	0	0
1032984	400	1	431
1037488	400	1	107
1041992	400	0	0
1046497	400	0	1298
1051001	400	1	1012
1055506	400	0	1168
1060010	400	1	373
1064515	400	0	803
1069019	400	1	464
1073524	400	0	920
1078028	400	1	1222
1082533	400	1	1042
1087037	400	0	703
1091541	400	0	339
1096046	400	0	797
1100550	400	1	310
1105055	400	0	743
1109559	400	0	420
1167934	400	0	429
1172438	400	0	635
1176943	400	1	528
1181447	400	0	689
1185952	400	0	633
1190456	400	0	277
1194961	400	1	676
1199465	400	0	1268
1203969	400	1	1083
1208474	400	0	1156
1212978	400	1	426
1217483	400	1	1262
1221987	400	1	876
1226492	400	0	437
1230996	400	1	559
1235501	400	1	957
1240005	400	0	149
1244510	400	0	1046
1249014	400	0	834
1253519	400	0	482
1258023	400	0	861
1262527	400	0	1328
1267032	400	1	964
1271536	400	0	886
1276041	400	0	1051
1280545	400	0	459
1285050	400	0	589
1289554	400	0	330
1294059	400	0	0
1298563	400	1	1003
1303068	400	0	1070
1307572	400	1	687
1312077	400	0	932
1316581	400	0	0
1321085	400	1	1419
1325590	400	0	356
1330094	400	0	439
1334599	400	0	756
1339103	400	1	712
1343608	400	0	587
1348112	400	1	443
1352617	400	0	265
1357121	400	1	606
1361626	400	1	382
1366130	400	0	439
1370635	400	0	235
1375139	400	0	935
1379643	400	0	0
1384148	400	0	788
1388652	400	1	1327
1393157	400	0	1056
1397661	400	0	288
1402166	400	1	1445
1406670	400	0	790
1411175	400	1	245
1415679	400	0	779
1420184	400	0	0
1424688	400	1	462
1429193	400	0	1245
1433697	400	0	865
