onset	duration	ACC	RT
170768	400	1	685
175272	400	1	1575
179777	400	1	1317
184281	400	1	1225
188786	400	1	1149
193290	400	1	965
197794	400	1	876
202299	400	1	1051
206803	400	1	861
211308	400	1	639
215812	400	1	719
220317	400	1	747
224821	400	1	931
229326	400	0	1223
233830	400	0	1532
238335	400	0	1371
242839	400	1	1078
247344	400	1	605
251848	400	1	675
256352	400	1	788
260857	400	1	850
265361	400	1	803
269866	400	1	604
274370	400	1	905
278875	400	1	1479
283379	400	1	585
287884	400	1	837
292388	400	1	404
296893	400	1	493
301397	400	1	645
305902	400	0	1151
310406	400	1	769
314911	400	1	1015
319415	400	1	895
323919	400	1	780
328424	400	1	474
332928	400	1	674
337433	400	1	622
341937	400	1	633
346442	400	1	882
350946	400	1	572
355451	400	1	945
359955	400	1	857
364460	400	1	1159
368964	400	1	1348
373469	400	1	893
377973	400	1	829
382478	400	1	823
386982	400	1	600
391486	400	1	879
395991	400	1	733
400495	400	1	809
405000	400	1	977
409504	400	0	1193
414009	400	1	458
418513	400	1	448
423018	400	1	1502
427522	400	1	660
432027	400	0	1193
436531	400	1	1039
476387	400	1	643
480892	400	1	851
485396	400	1	773
489901	400	1	478
494405	400	1	926
498910	400	1	1332
503414	400	0	862
507919	400	1	907
512423	400	1	777
516928	400	1	704
521432	400	1	1388
525937	400	0	1404
530441	400	1	750
534945	400	1	893
539450	400	1	488
543954	400	1	857
548459	400	1	1118
552963	400	1	520
557468	400	0	1530
561972	400	1	530
566477	400	1	948
570981	400	1	1536
575486	400	1	662
579990	400	0	0
584495	400	1	889
588999	400	1	1128
593504	400	1	636
598008	400	0	792
602512	400	1	573
607017	400	1	643
611521	400	1	505
616026	400	1	1217
620530	400	0	1213
625035	400	1	681
629539	400	1	678
634044	400	1	990
638548	400	1	1030
643053	400	1	1006
647557	400	0	1139
652062	400	0	723
656566	400	1	711
661070	400	0	886
665575	400	0	0
670079	400	1	1154
674584	400	1	694
679088	400	0	1594
683593	400	1	631
688097	400	1	701
692602	400	1	599
697106	400	0	0
701611	400	1	1424
706115	400	0	1555
710620	400	1	630
715124	400	1	873
719629	400	1	578
724133	400	1	802
728637	400	1	476
733142	400	1	1445
737646	400	1	950
742151	400	1	594
815207	400	1	851
819711	400	0	913
824216	400	1	664
828720	400	1	638
833224	400	0	0
837729	400	0	1394
842233	400	1	555
846738	400	1	1059
851242	400	1	623
855747	400	1	977
860251	400	1	1165
864756	400	0	1559
869260	400	1	1152
873765	400	1	1069
878269	400	0	0
882774	400	0	1194
887278	400	1	792
891783	400	1	746
896287	400	1	1058
900791	400	1	859
905296	400	1	595
909800	400	1	587
914305	400	0	1279
918809	400	0	0
923314	400	1	878
927818	400	1	1191
932323	400	1	1456
936827	400	1	658
941332	400	1	698
945836	400	1	832
950341	400	1	1665
954845	400	0	0
959350	400	0	985
963854	400	1	528
968358	400	1	1538
972863	400	0	948
977367	400	1	1439
981872	400	1	1286
986376	400	1	671
990881	400	1	1289
995385	400	0	0
999890	400	0	989
1004394	400	1	1103
1008899	400	1	1028
1013403	400	1	1247
1017908	400	1	843
1022412	400	1	499
1026917	400	1	535
1031421	400	1	1020
1035926	400	1	594
1040430	400	1	796
1044934	400	1	1438
1049439	400	1	537
1053943	400	1	925
1058448	400	0	0
1062952	400	1	1445
1067457	400	0	1311
1071961	400	0	1122
1076466	400	0	967
1080970	400	1	484
1246067	400	1	1187
1250572	400	1	756
1255076	400	1	1204
1259581	400	1	516
1264085	400	1	680
1268590	400	1	822
1273094	400	1	758
1277599	400	1	618
1282103	400	0	0
1286607	400	1	586
1291112	400	0	672
1295616	400	1	1031
1300121	400	0	0
1304625	400	1	663
1309130	400	1	927
1313634	400	0	1048
1318139	400	1	614
1322643	400	0	828
1327148	400	1	387
1331652	400	0	78
1336157	400	1	821
1340661	400	1	846
1345166	400	0	0
1349670	400	1	1154
1354174	400	1	613
1358679	400	1	510
1363183	400	1	623
1367688	400	1	421
1372192	400	1	562
1376697	400	1	1163
1381201	400	1	823
1385706	400	1	627
1390210	400	0	0
1394715	400	1	718
1399219	400	1	1625
1403724	400	0	1252
1408228	400	1	706
1412733	400	1	451
1417237	400	1	930
1421741	400	1	742
1426246	400	1	720
1430750	400	0	1119
1435255	400	0	585
1439759	400	1	880
1444264	400	0	967
1448768	400	1	514
1453273	400	1	615
1457777	400	0	986
1462282	400	0	0
1466786	400	1	950
1471291	400	1	619
1475795	400	1	1452
1480299	400	1	528
1484804	400	1	748
1489308	400	1	999
1493813	400	0	0
1498317	400	1	1554
1502822	400	1	499
1507326	400	1	785
1511831	400	1	1242
