onset	duration	ACC	RT
185919	400	1	1243
190423	400	0	982
194928	400	1	870
199432	400	1	777
203937	400	1	897
208441	400	1	851
212946	400	1	1054
217450	400	1	836
221955	400	1	877
226459	400	1	625
230964	400	1	1095
235468	400	1	909
239973	400	1	925
244477	400	1	1404
248981	400	1	819
253486	400	1	996
257990	400	1	699
262495	400	1	999
266999	400	1	787
271504	400	0	1209
276008	400	1	1367
280513	400	1	808
285017	400	1	670
289522	400	1	666
294026	400	1	695
298530	400	1	565
303035	400	1	631
307539	400	1	742
312044	400	1	656
316548	400	1	675
321053	400	1	629
325557	400	1	738
330062	400	1	788
334566	400	1	867
339071	400	1	854
343575	400	1	839
348080	400	1	904
352584	400	1	692
357089	400	1	473
361593	400	1	1303
366098	400	1	609
370602	400	0	553
375106	400	1	823
379611	400	1	640
384115	400	1	948
388620	400	1	974
393124	400	1	959
397629	400	1	875
402133	400	1	581
406638	400	1	1026
411142	400	1	903
415647	400	1	595
420151	400	1	982
424655	400	1	555
429160	400	1	735
433664	400	0	847
438169	400	0	725
442673	400	1	964
447178	400	0	726
451682	400	0	613
492573	400	0	1062
497077	400	1	725
501582	400	1	791
506086	400	1	904
510591	400	1	649
515095	400	1	662
519600	400	0	1403
524104	400	1	361
528608	400	1	782
533113	400	0	821
537618	400	0	697
542122	400	1	683
546626	400	1	592
551131	400	1	439
555635	400	1	646
560140	400	1	445
564644	400	1	632
569149	400	1	582
573653	400	1	563
578158	400	1	671
582662	400	1	1253
587167	400	1	520
591671	400	1	927
596176	400	1	772
600680	400	1	400
605184	400	1	455
609689	400	1	581
614193	400	1	640
618698	400	1	833
623202	400	1	690
627707	400	1	694
632211	400	1	607
636716	400	1	628
641220	400	1	603
645725	400	1	482
650229	400	1	479
654734	400	0	580
659238	400	0	731
663742	400	1	567
668247	400	1	875
672751	400	1	799
677256	400	1	492
681760	400	1	1049
686265	400	1	536
690769	400	1	713
695274	400	1	702
699778	400	1	523
704283	400	1	892
708787	400	1	1039
713292	400	1	779
717796	400	1	952
722301	400	1	888
726805	400	1	810
731309	400	0	472
735814	400	1	328
740318	400	0	605
744823	400	0	494
749327	400	1	785
753832	400	0	751
758336	400	1	967
798009	400	1	590
802513	400	1	743
807018	400	0	753
811522	400	1	428
816027	400	0	621
820531	400	0	0
825036	400	1	935
829540	400	1	579
834045	400	1	714
838549	400	1	867
843054	400	0	670
847558	400	1	686
852062	400	0	647
856567	400	1	891
861071	400	0	590
865576	400	1	872
870080	400	1	619
874585	400	1	862
879089	400	1	692
883594	400	1	572
888098	400	1	834
892603	400	1	598
897107	400	0	1131
901612	400	1	603
906116	400	1	894
910621	400	1	602
915125	400	1	713
919629	400	1	743
924134	400	1	636
928638	400	1	901
933143	400	1	651
937647	400	1	875
942152	400	1	745
946656	400	1	684
951161	400	1	530
955665	400	1	612
960170	400	1	835
964674	400	1	677
969179	400	1	511
973683	400	1	631
978187	400	1	811
982692	400	1	839
987196	400	1	938
991701	400	1	757
996205	400	1	539
1000710	400	1	921
1005214	400	1	610
1009719	400	1	585
1014223	400	1	713
1018728	400	1	648
1023232	400	1	508
1027737	400	1	1029
1032241	400	1	498
1036746	400	0	1157
1041250	400	1	587
1045754	400	1	669
1050259	400	0	689
1054763	400	1	579
1059268	400	1	657
1063772	400	1	698
1099007	400	0	996
1103512	400	0	809
1108016	400	1	767
1112521	400	1	846
1117025	400	1	602
1121530	400	1	937
1126034	400	0	1174
1130538	400	1	747
1135043	400	1	739
1139547	400	1	782
1144052	400	1	895
1148556	400	1	1151
1153061	400	1	585
1157565	400	0	864
1162070	400	1	564
1166574	400	1	549
1171079	400	1	489
1175583	400	1	500
1180088	400	1	885
1184592	400	1	541
1189097	400	1	541
1193601	400	0	429
1198105	400	1	481
1202610	400	1	547
1207114	400	1	918
1211619	400	1	734
1216123	400	1	888
1220628	400	1	546
1225132	400	1	564
1229637	400	1	725
1234141	400	1	810
1238646	400	0	647
1243150	400	1	520
1247654	400	1	473
1252159	400	1	617
1256663	400	0	506
1261168	400	0	937
1265672	400	1	730
1270177	400	1	429
1274681	400	1	722
1279186	400	1	622
1283690	400	1	690
1288195	400	1	716
1292699	400	1	534
1297204	400	1	503
1301708	400	1	724
1306212	400	1	734
1310717	400	1	857
1315221	400	1	459
1319726	400	1	480
1324230	400	1	855
1328735	400	1	579
1333239	400	0	330
1337744	400	1	733
1342248	400	0	837
1346753	400	1	627
1351257	400	0	1045
1355762	400	0	479
1360266	400	1	676
1364771	400	1	863
