onset	duration	ACC	RT
170597	400	0	588
175101	400	1	874
179606	400	0	785
184110	400	1	575
188615	400	0	1316
193119	400	0	602
197624	400	0	1280
202128	400	0	1041
206632	400	0	606
211137	400	0	887
215641	400	1	1441
220146	400	0	1005
224650	400	1	626
229155	400	1	934
233659	400	0	1272
238164	400	1	623
242668	400	0	888
247173	400	0	1327
251677	400	1	722
256182	400	1	816
260686	400	1	749
265191	400	1	750
269695	400	1	624
274200	400	1	884
278704	400	1	1051
283208	400	1	959
287713	400	1	696
292217	400	0	970
296722	400	1	1223
301226	400	1	784
305731	400	0	1453
310235	400	1	650
314740	400	1	1232
319244	400	1	1303
323749	400	1	583
328253	400	0	707
332758	400	1	737
337262	400	0	1079
341767	400	1	1115
346271	400	1	814
350776	400	1	1050
355280	400	1	1022
359784	400	1	1111
364289	400	1	686
368793	400	1	1012
373298	400	0	1200
377802	400	0	1252
382307	400	0	998
386811	400	1	738
391316	400	1	1072
395820	400	0	966
400325	400	1	575
404829	400	1	425
409334	400	1	868
413838	400	1	521
418343	400	0	829
422847	400	1	1242
427352	400	0	1255
431856	400	1	498
436361	400	0	822
470861	400	1	716
475366	400	1	546
479870	400	1	788
484375	400	1	590
488879	400	1	1037
493384	400	1	1184
497888	400	0	841
502393	400	0	662
506897	400	0	960
511402	400	0	955
515906	400	1	509
520410	400	0	1520
524915	400	1	770
529419	400	1	1040
533924	400	0	1091
538428	400	0	1219
542933	400	0	1512
547437	400	1	1138
551942	400	0	911
556446	400	1	505
560951	400	1	965
565455	400	1	1137
569960	400	1	539
574464	400	1	791
578969	400	1	919
583473	400	1	1363
587978	400	1	569
592482	400	0	789
596986	400	0	1278
601491	400	0	1092
605995	400	0	1043
610500	400	1	1239
615004	400	0	695
619509	400	1	446
624013	400	0	1207
628518	400	1	1158
633022	400	1	683
637527	400	1	1057
642031	400	0	1025
646536	400	0	1479
651040	400	1	919
655545	400	1	1146
660049	400	0	996
664554	400	0	825
669058	400	0	1484
673562	400	1	1239
678067	400	0	1509
682571	400	1	918
687076	400	1	828
691580	400	1	489
696085	400	0	780
700589	400	1	1084
705094	400	0	963
709598	400	0	1124
714103	400	0	0
718607	400	0	1051
723112	400	1	610
727616	400	1	831
732121	400	1	624
736625	400	1	918
770392	400	1	671
774896	400	1	969
779401	400	0	694
783905	400	0	1110
788410	400	1	568
792914	400	1	778
797419	400	0	896
801923	400	1	1055
806428	400	1	627
810932	400	0	832
815437	400	0	987
819941	400	0	1103
824446	400	0	897
828950	400	0	1358
833455	400	1	774
837959	400	1	516
842464	400	1	826
846968	400	1	925
851473	400	1	702
855977	400	1	673
860481	400	0	901
864986	400	1	712
869490	400	1	889
873995	400	1	660
878499	400	1	1058
883004	400	1	938
887508	400	1	1246
892013	400	1	537
896517	400	0	526
901022	400	0	463
905526	400	1	908
910031	400	1	854
914535	400	1	1340
919039	400	0	912
923544	400	1	676
928048	400	1	793
932553	400	1	546
937057	400	1	1548
941562	400	0	421
946066	400	1	938
950571	400	0	1224
955075	400	1	1197
959580	400	0	961
964084	400	0	672
968589	400	0	1190
973093	400	0	966
977598	400	1	926
982102	400	0	939
986607	400	0	0
991111	400	1	1033
995615	400	0	986
1000120	400	0	1024
1004624	400	1	1446
1009129	400	1	1114
1013633	400	0	0
1018138	400	1	610
1022642	400	0	1055
1027147	400	0	836
1031651	400	0	1049
1036156	400	0	1196
1068888	400	0	679
1073393	400	1	535
1077897	400	1	1368
1082402	400	0	0
1086906	400	1	1531
1091411	400	0	878
1095915	400	0	1355
1100419	400	0	800
1104924	400	0	1311
1109428	400	0	831
1113933	400	0	1225
1118437	400	1	891
1122942	400	0	1072
1127446	400	0	1100
1131951	400	0	1635
1136455	400	1	1231
1140960	400	1	546
1145464	400	0	1294
1149969	400	0	1038
1154473	400	0	1247
1158978	400	0	1128
1163482	400	0	752
1167987	400	1	1216
1172491	400	1	966
1176995	400	1	707
1181500	400	1	514
1186004	400	1	659
1190509	400	1	1494
1195013	400	1	1323
1199518	400	1	868
1204022	400	1	954
1208527	400	0	814
1213031	400	0	984
1217536	400	1	746
1222040	400	0	731
1226545	400	1	517
1231049	400	0	932
1235553	400	1	1137
1240058	400	0	916
1244562	400	0	821
1249067	400	0	978
1253571	400	1	1192
1258076	400	0	1072
1262580	400	1	697
1267085	400	0	947
1271589	400	0	1314
1276094	400	1	1138
1280598	400	1	722
1285103	400	1	528
1289607	400	1	844
1294112	400	1	488
1298616	400	0	741
1303121	400	1	1505
1307625	400	1	1068
1312129	400	0	984
1316634	400	1	571
1321138	400	1	551
1325643	400	0	455
1330147	400	1	666
1334652	400	1	895
