onset	duration	ACC	RT
165981	400	1	522
170486	400	1	788
174990	400	1	1333
179495	400	1	688
183999	400	1	758
188504	400	0	1059
193008	400	1	228
197513	400	1	695
202017	400	1	510
206522	400	0	1259
211026	400	1	743
215530	400	1	446
220035	400	1	1044
224539	400	1	737
229044	400	1	680
233548	400	1	774
238053	400	1	790
242557	400	1	732
247062	400	1	734
251566	400	1	755
256070	400	1	1093
260575	400	1	629
265079	400	1	479
269584	400	1	1158
274088	400	1	683
278593	400	1	845
283097	400	1	577
287602	400	0	1223
292106	400	1	601
296611	400	1	477
301115	400	1	832
305620	400	1	1108
310124	400	1	715
314629	400	1	634
319133	400	1	1034
323638	400	1	766
328142	400	1	626
332647	400	1	550
337151	400	1	1417
341656	400	0	1143
346160	400	1	818
350664	400	1	1115
355169	400	1	1011
359673	400	1	1034
364178	400	0	1084
368682	400	1	738
373187	400	1	665
377691	400	1	635
382196	400	0	1262
386700	400	1	1285
391205	400	0	1533
395709	400	1	722
400213	400	1	605
404718	400	1	1246
409222	400	1	473
413727	400	0	982
418231	400	1	957
422736	400	1	615
427240	400	1	716
431745	400	1	875
473653	400	1	606
478157	400	1	579
482662	400	1	838
487166	400	1	749
491671	400	1	658
496175	400	1	681
500680	400	1	606
505184	400	1	1091
509689	400	1	705
514193	400	1	608
518697	400	1	792
523202	400	1	533
527706	400	1	747
532211	400	0	1369
536715	400	1	779
541220	400	1	1132
545724	400	1	867
550229	400	0	1250
554733	400	0	644
559238	400	1	879
563742	400	1	1201
568247	400	1	855
572751	400	1	891
577255	400	0	1462
581760	400	1	544
586264	400	1	616
590769	400	1	845
595273	400	1	596
599778	400	1	1045
604282	400	1	875
608787	400	1	678
613291	400	1	787
617796	400	1	939
622300	400	1	718
626805	400	1	536
631309	400	1	974
635813	400	1	888
640318	400	1	1036
644822	400	1	882
649327	400	1	1148
653831	400	1	903
658336	400	1	821
662840	400	1	765
667345	400	1	998
671849	400	1	549
676354	400	1	825
680858	400	1	609
685363	400	0	1166
689867	400	1	996
694372	400	1	836
698876	400	0	1217
703381	400	1	900
707885	400	1	646
712389	400	1	490
716894	400	1	699
721398	400	1	1173
725903	400	1	1104
730407	400	1	1123
734912	400	1	578
739416	400	1	671
796423	400	1	822
800927	400	1	1018
805432	400	0	1114
809936	400	1	905
814441	400	1	718
818945	400	1	686
823450	400	1	1236
827954	400	1	824
832458	400	1	502
836963	400	1	829
841467	400	1	1033
845972	400	1	575
850476	400	1	1308
854981	400	1	1378
859485	400	1	926
863989	400	1	1268
868494	400	1	1172
872999	400	0	1678
877503	400	1	978
882007	400	1	670
886512	400	0	1377
891016	400	1	582
895521	400	1	1105
900025	400	1	1505
904530	400	0	1428
909034	400	1	1414
913539	400	1	1028
918043	400	1	797
922548	400	1	663
927052	400	1	1358
931556	400	1	623
936061	400	1	733
940565	400	0	1275
945070	400	1	960
949574	400	1	1468
954079	400	1	864
958583	400	1	497
963088	400	1	384
967592	400	1	1043
972097	400	0	167
976601	400	1	1262
981106	400	1	697
985610	400	1	1427
990115	400	1	572
994619	400	1	465
999123	400	1	424
1003628	400	0	837
1008132	400	1	1265
1012637	400	1	702
1017141	400	0	678
1021646	400	0	984
1026150	400	1	906
1030655	400	1	571
1035159	400	1	962
1039664	400	1	586
1044168	400	1	746
1048672	400	1	567
1053177	400	1	690
1057681	400	1	739
1062186	400	1	568
1102042	400	1	605
1106546	400	1	847
1111051	400	1	1280
1115555	400	1	866
1120060	400	1	1591
1124564	400	1	497
1129069	400	1	558
1133573	400	1	517
1138078	400	0	1605
1142582	400	1	921
1147087	400	1	872
1151591	400	1	1262
1156096	400	1	501
1160600	400	1	641
1165105	400	1	426
1169609	400	0	1461
1174113	400	1	834
1178618	400	1	368
1183122	400	1	759
1187627	400	1	1157
1192131	400	1	346
1196636	400	1	1108
1201140	400	1	692
1205645	400	0	1197
1210149	400	1	986
1214654	400	1	613
1219158	400	1	440
1223663	400	1	767
1228167	400	1	635
1232671	400	0	1147
1237176	400	1	662
1241680	400	1	1082
1246185	400	1	732
1250689	400	1	1259
1255194	400	1	594
1259698	400	1	600
1264203	400	1	1117
1268707	400	1	1064
1273212	400	1	595
1277716	400	1	424
1282221	400	1	608
1286725	400	1	695
1291229	400	1	666
1295734	400	1	483
1300238	400	1	660
1304743	400	0	1562
1309248	400	1	687
1313752	400	1	480
1318256	400	1	617
1322761	400	1	897
1327265	400	1	1053
1331770	400	1	767
1336274	400	1	914
1340779	400	1	522
1345283	400	1	641
1349788	400	1	1109
1354292	400	1	674
1358796	400	1	539
1363301	400	1	526
1367805	400	1	412
