onset	duration	ACC	RT
159079	400	0	1138
163583	400	1	769
168087	400	1	678
172592	400	0	887
177096	400	1	520
181601	400	1	664
186105	400	1	752
190610	400	0	1287
195114	400	1	1381
199619	400	1	743
204123	400	1	693
208628	400	1	702
213132	400	1	670
217637	400	0	402
222141	400	1	531
226646	400	1	923
231150	400	1	761
235654	400	0	1097
240159	400	0	157
244663	400	1	480
249168	400	1	522
253672	400	0	583
258177	400	0	0
262681	400	1	601
267186	400	1	419
271690	400	0	850
276195	400	0	1137
280699	400	1	663
285204	400	1	774
289708	400	1	830
294213	400	1	958
298717	400	1	454
303222	400	0	890
307726	400	0	0
312230	400	0	611
316735	400	1	656
321239	400	1	765
325744	400	0	570
330248	400	0	1262
334753	400	1	656
339257	400	1	1441
343762	400	0	258
348266	400	1	177
352771	400	1	789
357275	400	0	1050
361780	400	1	608
366284	400	1	506
370789	400	1	1067
375293	400	0	1068
379798	400	1	716
384302	400	1	215
388807	400	1	803
393311	400	1	728
397815	400	0	227
402320	400	0	0
406824	400	1	748
411329	400	1	849
415833	400	1	966
420338	400	0	1070
424842	400	1	1080
488322	400	1	971
492826	400	1	536
497331	400	1	315
501835	400	1	810
506340	400	1	766
510844	400	1	700
515349	400	0	700
519853	400	1	672
524358	400	1	580
528862	400	0	1405
533367	400	0	823
537871	400	0	193
542376	400	1	579
546880	400	0	705
551385	400	0	209
555889	400	0	235
560394	400	1	587
564898	400	1	709
569403	400	0	743
573907	400	0	201
578411	400	0	192
582916	400	1	771
587420	400	0	1434
591925	400	1	682
596429	400	1	769
600934	400	0	860
605438	400	1	577
609943	400	0	527
614447	400	1	1208
618952	400	0	770
623456	400	1	865
627961	400	0	867
632465	400	0	1397
636970	400	1	1130
641474	400	1	782
645979	400	1	628
650483	400	1	821
654987	400	0	1375
659492	400	0	1410
663996	400	1	356
668501	400	0	896
673005	400	1	848
677510	400	1	901
682014	400	0	1041
686519	400	1	609
691023	400	1	1073
695528	400	1	1129
700032	400	1	950
704537	400	1	844
709041	400	1	1135
713546	400	1	642
718050	400	1	1604
722555	400	1	874
727059	400	1	1210
731564	400	1	789
736068	400	1	995
740572	400	1	1102
745077	400	1	842
749581	400	1	449
754086	400	1	581
864796	400	1	545
869300	400	0	830
873805	400	1	756
878309	400	1	1026
882814	400	1	600
887318	400	1	725
891823	400	1	940
896327	400	1	953
900832	400	1	485
905336	400	1	496
909840	400	1	497
914345	400	0	992
918849	400	1	1279
923354	400	1	376
927858	400	1	765
932363	400	1	472
936867	400	1	726
941372	400	0	982
945876	400	1	1293
950381	400	1	826
954885	400	1	629
959390	400	1	1300
963894	400	1	786
968399	400	1	1106
972903	400	0	920
977407	400	0	696
981912	400	1	677
986416	400	1	793
990921	400	0	1460
995425	400	1	1099
999930	400	0	1024
1004434	400	1	807
1008939	400	0	1037
1013443	400	0	1028
1017948	400	0	1084
1022452	400	0	0
1026957	400	1	824
1031461	400	1	772
1035966	400	1	620
1040470	400	1	784
1044975	400	1	712
1049479	400	1	794
1053984	400	1	1070
1058488	400	1	999
1062993	400	0	658
1067497	400	0	706
1072002	400	1	663
1076506	400	1	1203
1081010	400	0	618
1085515	400	1	730
1090019	400	1	1506
1094524	400	0	933
1099028	400	1	672
1103533	400	0	886
1108037	400	1	748
1112542	400	1	721
1117046	400	1	1086
1121551	400	1	710
1126055	400	1	773
1130560	400	1	1215
1170683	400	1	565
1175187	400	0	514
1179692	400	1	952
1184196	400	1	628
1188701	400	1	918
1193205	400	1	655
1197709	400	1	468
1202214	400	1	648
1206718	400	0	633
1211223	400	1	791
1215727	400	1	572
1220232	400	1	482
1224736	400	1	693
1229241	400	0	1195
1233745	400	0	907
1238250	400	1	817
1242754	400	1	819
1247259	400	1	1280
1251763	400	0	790
1256268	400	0	600
1260772	400	1	571
1265277	400	1	1213
1269781	400	0	1036
1274286	400	1	496
1278790	400	1	900
1283294	400	0	675
1287799	400	1	1222
1292303	400	1	1122
1296808	400	0	667
1301312	400	1	563
1305817	400	1	617
1310321	400	0	1007
1314826	400	1	485
1319330	400	0	1271
1323835	400	1	834
1328339	400	0	1076
1332844	400	1	937
1337348	400	0	485
1341852	400	1	793
1346357	400	1	1104
1350861	400	1	490
1355366	400	1	1250
1359870	400	1	1136
1364375	400	1	677
1368879	400	1	900
1373384	400	1	789
1377888	400	1	665
1382393	400	1	656
1386897	400	0	819
1391402	400	0	0
1395906	400	0	661
1400411	400	1	707
1404915	400	1	497
1409419	400	1	828
1413924	400	0	762
1418428	400	1	434
1422933	400	1	599
1427437	400	1	473
1431942	400	0	1172
1436446	400	1	461
