onset	duration	ACC	RT
151716	400	1	905
156221	400	1	725
160725	400	1	543
165230	400	1	428
169734	400	1	410
174239	400	0	920
178743	400	1	503
183248	400	1	463
187752	400	1	593
192257	400	0	455
196761	400	1	846
201266	400	1	511
205770	400	1	1001
210274	400	1	618
214779	400	1	743
219283	400	1	690
223788	400	1	1271
228292	400	1	1061
232797	400	0	970
237301	400	1	723
241806	400	1	478
246310	400	1	762
250815	400	1	603
255319	400	1	746
259824	400	1	644
264328	400	1	544
268833	400	1	729
273337	400	1	867
277841	400	1	640
282346	400	1	1270
286850	400	1	683
291355	400	1	548
295859	400	1	680
300364	400	1	954
304868	400	1	913
309373	400	1	696
313877	400	1	686
318381	400	1	678
322886	400	1	921
327390	400	0	967
331895	400	0	1213
336399	400	0	1071
340904	400	1	677
345408	400	1	612
349913	400	1	1009
354417	400	1	1257
358922	400	1	864
363426	400	1	840
367931	400	1	703
372435	400	1	565
376940	400	1	1176
381444	400	1	1272
385949	400	1	972
390453	400	1	708
394958	400	1	370
399462	400	1	1020
403966	400	1	798
408471	400	1	774
412975	400	1	724
417480	400	1	616
454700	400	0	890
459204	400	1	786
463709	400	1	551
468213	400	0	849
472718	400	0	1083
477222	400	1	855
481727	400	1	808
486231	400	1	648
490736	400	0	998
495240	400	0	1015
499745	400	1	907
504249	400	1	806
508753	400	1	1145
513258	400	1	1088
517762	400	0	778
522267	400	1	637
526771	400	1	617
531276	400	0	999
535780	400	0	1189
540285	400	1	862
544789	400	1	767
549294	400	1	1034
553798	400	1	848
558302	400	0	702
562807	400	0	1582
567311	400	0	1175
571816	400	1	571
576320	400	1	946
580825	400	1	700
585329	400	1	716
589834	400	1	431
594338	400	1	428
598843	400	1	769
603347	400	1	498
607852	400	1	527
612356	400	1	613
616860	400	0	585
621365	400	1	467
625869	400	1	696
630374	400	1	898
634878	400	1	651
639383	400	1	712
643887	400	1	623
648392	400	1	553
652896	400	1	496
657401	400	1	835
661905	400	1	702
666410	400	1	598
670914	400	1	710
675418	400	1	546
679923	400	1	610
684427	400	1	934
688932	400	1	490
693436	400	0	920
697941	400	0	952
702445	400	1	665
706950	400	0	831
711454	400	1	800
715959	400	1	494
720463	400	1	807
768160	400	1	765
772665	400	0	771
777169	400	1	784
781674	400	1	1157
786178	400	0	743
790683	400	1	610
795187	400	1	710
799691	400	1	563
804196	400	1	556
808700	400	1	667
813205	400	1	684
817709	400	1	936
822214	400	1	844
826718	400	1	824
831223	400	0	788
835727	400	0	952
840232	400	1	1193
844736	400	0	747
849241	400	1	642
853745	400	1	971
858249	400	1	753
862754	400	0	864
867258	400	1	854
871763	400	1	904
876267	400	1	374
880772	400	1	1063
885276	400	1	1019
889781	400	1	759
894285	400	1	549
898790	400	1	822
903294	400	1	559
907798	400	1	636
912303	400	1	559
916807	400	1	414
921312	400	1	630
925816	400	1	653
930321	400	1	546
934825	400	1	890
939330	400	1	717
943834	400	0	581
948339	400	0	972
952843	400	1	840
957348	400	1	461
961852	400	1	515
966356	400	1	820
970861	400	1	451
975365	400	1	922
979870	400	1	590
984374	400	1	551
988879	400	0	465
993383	400	1	1175
997888	400	1	1035
1002392	400	1	760
1006897	400	1	861
1011401	400	1	699
1015906	400	0	1040
1020410	400	1	765
1024914	400	1	602
1029419	400	1	1013
1033923	400	1	773
1078267	400	0	891
1082772	400	1	747
1087276	400	1	868
1091781	400	1	789
1096285	400	1	555
1100790	400	1	478
1105294	400	1	612
1109799	400	1	666
1114303	400	0	682
1118807	400	1	601
1123312	400	1	645
1127816	400	1	631
1132321	400	0	639
1136825	400	0	1168
1141330	400	0	1109
1145834	400	1	582
1150339	400	1	512
1154843	400	1	770
1159348	400	0	992
1163852	400	1	617
1168356	400	1	904
1172861	400	1	990
1177365	400	1	1149
1181870	400	0	1167
1186374	400	1	941
1190879	400	1	924
1195383	400	1	687
1199888	400	1	673
1204392	400	1	715
1208897	400	0	885
1213401	400	1	658
1217906	400	1	859
1222410	400	1	783
1226914	400	1	599
1231419	400	0	612
1235923	400	1	665
1240428	400	0	954
1244932	400	1	883
1249437	400	1	633
1253941	400	1	866
1258446	400	1	837
1262950	400	0	1086
1267455	400	1	639
1271959	400	1	696
1276464	400	0	894
1280968	400	0	1665
1285472	400	1	791
1289977	400	0	751
1294481	400	1	866
1298986	400	0	888
1303490	400	1	683
1307995	400	1	453
1312499	400	1	903
1317004	400	0	974
1321508	400	1	1102
1326013	400	0	1306
1330517	400	0	940
1335022	400	1	576
1339526	400	1	717
1344030	400	1	483
